genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0E01661g	-31.6875	116.15626	-3.18910789318868	0.0532836029796094	0.0921877191998821	-4.49468318614422
CAGL0E01793g	-584	1081.62501	-3.18586589240139	0.0534111117883672	0.0923783626067284	-4.4947533829611
CAGL0L10015g	-136.3125	608.34376	-3.18241304687239	0.05354734313983	0.0925839637950902	-4.49482830911043
CAGL0L08954g	-59.1875	100.21876	-3.18003598301431	0.0536413883668176	0.0927165150837995	-4.49487998955991
CAGL0B03421g	51.9999999999999	243.25001	3.17851474046898	0.0537016851942587	0.0927906669342973	-4.49491310560646
CAGL0F08063g	-222.1875	678.78126	-3.17790009487824	0.0537260722434192	0.0928027426639889	-4.49492649524018
CAGL0L04224g	-140.125	508.25001	-3.17724430946261	0.0537521072151701	0.0928176561624207	-4.49494078702505
CAGL0H00264g	-44	182.62501	-3.17400160451311	0.0538810816668286	0.0930102555374964	-4.4950115469055
CAGL0M01188g	39.1249999999998	309.31251	3.17339316132515	0.0539053258382042	0.0930220019479073	-4.49502484066497
CAGL0F05027g	-29.5625	75.21876	-3.17238065243387	0.0539457014660684	0.0930615690879719	-4.4950469745379
CAGL0A03993g	-55.5000000000001	216.06251	-3.17131119559684	0.0539883900390419	0.0931050994077754	-4.49507036928041
CAGL0F05665g	-91.9375000000002	1008.46876	-3.166324431525	0.0541880141083824	0.0934191555443153	-4.49517967340076
CAGL0E05654g	-232.4375	651.90626	-3.16312296909161	0.0543166691734596	0.09361069898909	-4.4952500344853
CAGL0F04565g	-450.25	2072.50001	-3.15723533766216	0.0545542935612577	0.0939898584805389	-4.4953798182551
CAGL0H03861g	-55.8750000000001	668.68751	-3.15284340931364	0.0547324180828969	0.0942662957875919	-4.49547695883526
CAGL0F06693g	183.25	777.62501	3.15221265589874	0.0547580607655322	0.0942800181159938	-4.49549093285553
CAGL0C02673g	-43.1875000000001	365.59376	-3.15129739661056	0.0547952970982089	0.0943136865833644	-4.49551122025966
CAGL0M06875g	-71.8125	256.59376	-3.14704045862421	0.0549689122471015	0.0945819928793676	-4.49560573898731
CAGL0F06413g	535.999999999999	3807.12501	3.1454482022285	0.0550340316586751	0.0946635036657121	-4.49564116059664
