genesymbol	pre.1	pre.2	X20min.1	X20min.2
CAGL0J08118g	205.25001	178.75001	365.25001	356.50001
CAGL0G02409g	1028.00001	1152.25001	248.75001	335.00001
CAGL0I02794g	102.50001	107.12501	199.00001	193.75001
CAGL0C01441g	1095.37501	988.25001	303.00001	380.87501
CAGL0K00671g	1063.00001	935.37501	235.75001	291.62501
CAGL0I09240g	837.75001	936.50001	346.00001	308.62501
CAGL0L11154g	383.12501	442.50001	816.25001	870.87501
CAGL0H00957g	2100.75001	2217.25001	1038.62501	1198.75001
CAGL0J03780g	1124.75001	1123.75001	849.62501	895.00001
CAGL0M09405g	264.75001	262.75001	420.37501	397.75001
CAGL0H06831g	114.12501	125.00001	465.50001	408.00001
CAGL0M12859g	1336.50001	1254.00001	2379.25001	2207.75001
CAGL0M00874g	554.62501	577.25001	418.12501	409.00001
CAGL0K03399g	531.00001	545.50001	702.75001	682.50001
CAGL0K02277g	282.25001	275.75001	369.75001	368.62501
CAGL0H02519g	164.25001	153.00001	271.50001	264.00001
CAGL0B00814g	388.25001	406.25001	825.75001	754.25001
CAGL0B01122g	7128.00001	7128.00001	2781.75001	3543.50001
CAGL0E03806g	379.00001	387.75001	287.75001	283.00001
CAGL0K10824g	23.50001	17.75001	108.62501	110.50001
CAGL0I04730g	1400.50001	1249.50001	298.75001	408.00001
CAGL0H07755g	460.75001	481.87501	737.00001	786.25001
CAGL0G04609g	117.75001	116.50001	215.37501	227.50001
CAGL0I03476g	233.75001	233.25001	329.75001	341.25001
CAGL0J08976g	62.12501	51.25001	192.75001	213.37501
CAGL0G02849g	43.75001	44.00001	317.25001	271.50001
CAGL0H08778g	148.50001	154.00001	268.25001	285.75001
CAGL0D03058g	911.00001	874.62501	1394.25001	1314.25001
CAGL0E02585g	730.50001	638.62501	193.75001	205.00001
CAGL0L06292g	212.50001	220.50001	582.25001	519.87501
CAGL0D02992g	236.12501	240.50001	144.25001	134.50001
CAGL0K07656g	2708.75001	2752.00001	1203.00001	1470.00001
CAGL0F03267g	191.25001	213.87501	344.50001	346.00001
CAGL0G01276g	272.50001	253.12501	124.75001	132.00001
CAGL0B03619g	268.87501	265.62501	1027.75001	893.75001
CAGL0D01188g	6206.50001	5875.00001	3262.50001	3641.75001
CAGL0G09218g	258.50001	275.25001	145.75001	138.25001
CAGL0F03157g	379.00001	319.37501	741.25001	702.87501
CAGL0H03553g	1234.25001	1276.00001	860.50001	789.50001
CAGL0B03509g	945.00001	938.25001	1669.00001	1825.50001
CAGL0I04356g	6600.00001	6811.75001	3904.25001	4360.25001
CAGL0K01961r	147.00001	166.87501	22.25001	12.50001
CAGL0I03718g	2178.50001	2015.50001	3006.00001	3095.75001
CAGL0K03949g	238.12501	212.62501	390.00001	405.25001
CAGL0M13871g	1669.75001	1638.50001	682.50001	852.75001
CAGL0E02013g	9780.75001	9643.00001	3999.25001	5011.00001
CAGL0E01507g	420.25001	437.25001	265.50001	284.62501
CAGL0K09570g	1322.75001	1445.12501	632.75001	700.75001
CAGL0M04147g	243.12501	227.50001	481.25001	529.37501
CAGL0I01276g	151.37501	178.75001	476.75001	429.75001
CAGL0G08316g	424.00001	465.37501	210.25001	191.75001
CAGL0C02585g	420.25001	458.87501	216.50001	197.62501
CAGL0L05280g	295.75001	255.00001	527.00001	556.50001
CAGL0A01540g	7860.75001	7709.50001	3769.50001	4479.50001
CAGL0F04477g	908.50001	884.50001	1401.25001	1314.25001
CAGL0G08360g	188.00001	195.62501	280.87501	280.87501
CAGL0M01936g	305.75001	327.75001	476.75001	463.00001
CAGL0J05434g	3069.75001	2985.50001	3922.75001	3782.50001
CAGL0M01562g	1106.00001	1115.50001	2270.75001	2061.25001
CAGL0B00902g	939.75001	972.12501	1846.00001	1688.25001
CAGL0K03707g	362.12501	363.87501	467.00001	482.50001
CAGL0B02970g	110.25001	64.75001	629.50001	542.25001
CAGL0C05159g	532.12501	565.75001	1136.00001	1260.50001
CAGL0H02607g	1039.25001	1091.00001	502.50001	591.37501
CAGL0F07117g	80.75001	94.50001	289.50001	258.50001
CAGL0F07975g	114.12501	101.50001	451.50001	391.75001
CAGL0C05093g	672.25001	629.25001	1344.12501	1225.12501
CAGL0A03696g	764.25001	812.87501	1212.00001	1151.62501
CAGL0D01474g	33.00001	22.50001	122.25001	125.00001
CAGL0L01881g	1236.25001	1254.00001	1124.25001	1127.25001
CAGL0J06468g	546.62501	532.25001	1135.75001	1028.37501
CAGL0I03894g	492.00001	494.50001	342.25001	313.00001
CAGL0L07128g	170.25001	212.62501	430.75001	418.00001
CAGL0M07700g	346.00001	330.50001	178.50001	199.00001
CAGL0L11528g	302.50001	272.50001	120.00001	114.00001
CAGL0I07909g	479.00001	484.50001	613.37501	637.00001
CAGL0A02090g	2329.25001	2329.25001	949.75001	1203.00001
CAGL0G05830g	413.00001	375.25001	1327.25001	1160.12501
CAGL0K03333g	168.75001	155.37501	285.62501	274.00001
CAGL0L12892g	570.25001	524.12501	245.00001	201.00001
CAGL0H04103g	360.37501	418.50001	690.50001	708.25001
CAGL0I07865g	78.00001	46.25001	632.75001	533.25001
CAGL0L04114g	264.75001	294.25001	97.12501	109.50001
CAGL0K03421g	57.50001	78.50001	422.37501	362.00001
CAGL0H05753g	132.00001	132.00001	212.50001	210.25001
CAGL0I00792g	6954.50001	6795.00001	3747.50001	4304.50001
CAGL0K09130g	1009.25001	965.75001	743.00001	719.00001
CAGL0D02288g	432.00001	454.12501	295.75001	305.50001
CAGL0I02200g	997.25001	1106.00001	1588.25001	1599.50001
CAGL0I09570g	568.12501	589.00001	419.00001	396.12501
CAGL0L03025g	552.75001	598.62501	126.50001	195.75001
CAGL0F01111g	125.00001	104.75001	271.50001	255.50001
CAGL0F09009g	154.00001	162.00001	69.75001	71.00001
CAGL0M00220g	1762.50001	1764.25001	1853.25001	1846.00001
CAGL0H01815g	495.75001	496.25001	594.00001	583.75001
CAGL0E00517g	566.75001	544.75001	88.50001	171.25001
CAGL0M00616g	117.75001	125.00001	210.25001	217.25001
CAGL0J06666g	358.25001	376.00001	57.75001	110.50001
CAGL0L10934g	191.25001	203.00001	93.25001	99.12501
CAGL0C00451g	371.25001	311.25001	941.00001	846.12501
CAGL0I10725g	260.00001	234.75001	394.25001	402.50001
CAGL0L05170g	692.87501	665.50001	114.50001	215.25001
CAGL0K05819g	452.25001	471.50001	316.00001	329.75001
CAGL0K03245g	322.87501	311.25001	419.00001	428.50001
CAGL0L02453g	562.50001	558.75001	360.87501	394.75001
CAGL0D02574g	192.50001	203.00001	299.75001	292.87501
CAGL0I10967g	2453.25001	2280.00001	6039.25001	5373.00001
CAGL0L06820g	220.00001	228.50001	556.75001	497.00001
CAGL0J11440g	1889.50001	1897.75001	1452.25001	1533.00001
CAGL0M06523g	12114.25001	11836.75001	8729.50001	9276.25001
CAGL0E03718g	285.75001	290.50001	374.50001	369.75001
CAGL0H08283g	893.75001	665.50001	3198.75001	2801.37501
CAGL0B02167g	634.25001	599.25001	863.87501	835.00001
CAGL0D00440g	272.50001	284.00001	176.00001	165.75001
CAGL0G02651g	126.50001	125.50001	251.50001	233.50001
CAGL0H02189g	282.25001	243.25001	49.75001	58.87501
CAGL0M13893g	2738.00001	2554.25001	1044.00001	1288.50001
CAGL0M06633g	127.75001	144.25001	298.75001	277.25001
CAGL0G06050g	1.00001	1.50001	1598.87501	1299.50001
CAGL0J02332g	211.75001	237.12501	399.50001	382.37501
CAGL0G03927g	351.37501	411.62501	80.50001	81.75001
CAGL0A01760g	225.87501	223.25001	348.25001	371.25001
CAGL0I07667g	554.62501	629.25001	143.25001	188.75001
CAGL0D04796g	126.50001	132.75001	46.25001	41.00001
CAGL0C05489g	125.00001	126.50001	238.00001	223.12501
CAGL0I09438g	222.62501	199.00001	55.12501	67.75001
CAGL0J08294g	318.25001	296.25001	1082.87501	1261.50001
CAGL0C03784g	476.00001	473.37501	362.75001	343.12501
