genes	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	no.pi.wt.sec.max
2726	CAGL0I05896g	1.55482646229311	2.52477013655952	2.76963452550565	2.6972492690816	2.86448458931996	2.80341108388095	2.76487336593398	2.83412418224709	2.52563633333262	2.83412418224709
1324	CAGL0F03113g	1.15974076448493	1.78382777382455	2.20362649982362	2.32943643370172	2.50458064680215	2.49761205166441	2.54819077258864	2.61127167307883	2.21307664106377	2.54819077258864
1494	CAGL0F07117g	1.62231490620771	2.77904206034437	3.47076759083152	3.65876172877689	3.85404063669582	3.98702057214365	3.93912766585101	3.93868073942521	3.87141088578534	3.93912766585101
2007	CAGL0G09977g	2.47089383676503	3.8632708178946	4.0770158709794	3.8945185569006	3.85086702897456	3.58980024227534	3.82534477156867	3.95934912040994	3.43432057301751	3.95934912040994
4245	CAGL0L05016g	0.519260337108224	1.01987642677776	1.59170335039057	1.81074465712416	2.32510118278345	2.52205875503951	2.45841097465116	2.22441114274037	2.48638648920745	2.48638648920745
4974	CAGL0M08228g	0.792385184657403	1.56963071887606	2.21007066780261	2.51618561946423	2.73164857639624	2.62987831935537	2.76324028303313	2.68987154868919	2.46563959360915	2.73164857639624
3309	CAGL0J08547g	1.10101943304672	1.90489876423025	2.37021637412961	2.65355789078205	2.82865467875284	2.90194550703362	3.05992909957479	3.11684341480047	2.91422785788064	3.05992909957479
2995	CAGL0J01331g	1.71356645679828	2.93316403912774	3.81395893579964	3.84571130803935	4.02179709893785	3.93777261068841	4.04446828295362	4.16504400308887	3.47281618116075	4.04446828295362
615	CAGL0C04939g	2.22270912836884	3.01174295387129	3.28671836624207	3.44040345553282	3.66668138969161	4.03110212760686	4.20194160085074	4.25927493779459	4.60940098228751	4.25927493779459
479	CAGL0C01771g	1.57500364200426	2.82527788888935	3.4721286063723	3.43823446100866	3.56007484041675	3.3962967662709	3.39299722591652	3.65303374048122	3.0622715934624	3.56007484041675
5221	CAGL0M13783g	1.22628656255405	1.84425328082889	2.08738659144033	2.03031446212212	2.06537776478357	2.06122538742597	1.94252662776324	1.92993888724862	1.72564459054435	2.06537776478357
3144	CAGL0J04884g	1.20475425285399	3.39750556397939	4.89979647095898	5.3410429166343	5.93594034603356	6.13700965032009	6.03571145222832	5.97272654934218	6.00772529532721	6.03571145222832
4853	CAGL0M05665g	1.469968924892	2.35127529579719	2.85262807451224	2.8029870332257	2.7907308818382	2.68830169097576	2.73037745140056	2.81244116728515	2.35463666277047	2.81244116728515
4146	CAGL0L02827g	1.60921247052971	2.7785319673941	3.35423383641273	3.41538586720707	3.72985542141578	3.75324456756976	3.79618899320422	3.71310692368854	3.5805584804714	3.75324456756976
4287	CAGL0L06006g	1.69994798123515	2.56236885993868	2.79895178633462	2.8637731710376	2.85758072750615	2.79729200912259	2.94404900270981	3.11843115197114	2.88539151126979	2.94404900270981
5220	CAGL0M13761g	0.912876972690397	1.51623907015521	2.00966058425362	2.12473207879651	2.29197307739277	2.17017823630449	2.12401739750127	2.04107612336164	1.88153873724336	2.17017823630449
5075	CAGL0M10439g	1.17412255982749	2.16720850212661	2.59505154080606	2.5699230313648	2.6935392860761	2.63457454226768	2.71674559865025	2.7022881127108	2.56528920990499	2.7022881127108
3426	CAGL0J11176g	0.675613257972038	0.731037509285559	1.2192341654644	1.55292039439362	1.88711872456757	2.17342910122094	2.21516719779569	2.2102583892845	2.26881154194101	2.21516719779569
1806	CAGL0G05335g	1.46448160155947	2.80687866924075	3.213973025041	3.10238752544844	3.12997886676222	2.88427492619926	3.00624733583127	3.18776168586555	2.5831718156943	3.18776168586555
4140	CAGL0L02717g	1.31415149803988	2.49960100420713	3.14775219177095	3.11022891321303	2.94220717030871	2.9142253703072	2.76433930156976	2.78747374191704	2.38748271864154	3.11022891321303
4484	CAGL0L10582g	1.54529945343193	3.04954201415248	3.40016478221873	3.21158556961711	3.33115809884649	2.99633896202855	3.06108780132569	3.01021296701551	2.56853854300534	3.33115809884649
4812	CAGL0M04675g	1.66236107909775	3.09590732408748	3.79860086150998	3.69068599959369	3.61162058315573	3.36876663958764	3.22129189640294	3.28955330716049	2.69237647713484	3.69068599959369
304	CAGL0B02563g	1.58351323151653	3.31049085714813	4.45248722186552	4.51768538735339	4.77398689998495	4.38458141759753	4.95544114246488	5.03622238055613	4.42386863299976	4.95544114246488
1348	CAGL0F03707g	0.639307343653861	1.44954268110916	2.28153196400676	2.43621371567782	2.68019081750874	2.78364720842398	2.89743915321877	2.5437330912302	2.80695728396609	2.80695728396609
3058	CAGL0J02948g	-0.102024062588574	-0.159977626325664	0.479219990196524	0.98222439997076	1.76753939824182	2.33830667906735	2.33720152476421	2.13120109749308	2.14242542917054	2.33720152476421
998	CAGL0E01837g	1.13912554549007	3.07253319012417	3.98506114317988	3.99987287275566	4.15430523039635	4.00170667427001	4.16870479746052	4.28528925769626	4.04708877331857	4.16870479746052
5080	CAGL0M10571g	0.458148261078858	1.12573938014648	1.7246064002892	1.72752199399648	1.72014821311214	1.77588389367504	1.61958488497455	1.54058007735046	1.3023350212889	1.72752199399648
