genesymbol4	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0H05863g	-64.142634012291	75.4158681891865	-8.41972852439457	0.00583567136241488	0.0203430412914089	-2.25741489947973
CAGL0K01353g	65.9554275027702	87.8370501444729	8.4109765501382	0.00585108457297507	0.0203799226845072	-2.25815501976632
CAGL0M11682g	96.9039109341165	89.5948662761213	8.40843593905337	0.00585556933683652	0.0203799226845072	-2.25837022475039
CAGL0H05687g	-18.3818132560503	53.1758648582597	-8.40643747023349	0.0058591004103023	0.0203799226845072	-2.25853961959861
CAGL0J09086g	-1655.2323999533	2112.56782303552	-8.40387007835708	0.00586364099785126	0.0203799226845072	-2.25875738327171
CAGL0E01815g	8.17670508891776	5.58753479230769	8.40190898606092	0.00586711256172519	0.0203799226845072	-2.25892383159185
CAGL0I10648g	-876.686357501275	1999.65932113374	-8.40134784452469	0.00586810642443986	0.0203799226845072	-2.25897147625796
CAGL0M10505g	12.505193685064	50.4642233030802	8.39865112672704	0.00587288592583869	0.0203838689547565	-2.25920055496007
CAGL0F01815g	45.3803552520974	50.334082261461	8.3895084233871	0.00588912972312358	0.0204153426418857	-2.25997855149796
CAGL0G00440g	-102.474884314505	259.31040847469	-8.38812019239309	0.00589160157653154	0.0204153426418857	-2.26009686526479
CAGL0M09317g	52.1445113422486	114.966127006898	8.38739101033289	0.00589290051235843	0.0204153426418857	-2.26015903004461
CAGL0K12386g	-26.4654701422661	69.6004220604688	-8.38167121059637	0.00590310318084089	0.0204173857536954	-2.26064712035779
CAGL0I00352g	129.520805148091	229.052469085015	8.38156253535725	0.00590329726442231	0.0204173857536954	-2.2606564019255
CAGL0M11308g	18.8857463903998	90.1685632826387	8.38092393657804	0.00590443791769065	0.0204173857536954	-2.26071094836979
CAGL0K01463g	-45.5585652215278	92.7690391342521	-8.36852991858564	0.005926635910063	0.0204814872864747	-2.26177162169553
CAGL0K02937g	-146.598034504472	162.903457777657	-8.34904007600185	0.00596177495690841	0.0205902042493226	-2.26344738530704
CAGL0M00946g	-101.398630830663	84.917246697116	-8.34576009435055	0.00596771665896716	0.0205980103065523	-2.26373034824466
CAGL0G07887g	23.492250055744	139.944406948809	8.3420432193451	0.00597445962134031	0.0206085706420463	-2.26405133217813
CAGL0M05137g	89.137798527988	181.851723656845	8.33051351170226	0.00599544285553977	0.0206682087349014	-2.26504925912197
CAGL0H00935g	-116.179645806665	123.291217308405	-8.32805157989151	0.00599993649159416	0.0206709634670378	-2.26526278541863
CAGL0J03872g	23.5821538487061	87.6598905142263	8.31773894542121	0.00601880991547889	0.0207232255243719	-2.26615889862841
CAGL0H06963g	-17.5107471101382	38.5722720048459	-8.31512690630981	0.00602360320426541	0.0207269741253782	-2.26638630386575
CAGL0G04851g	-251.345510165882	634.745628308971	-8.3081182734462	0.00603649048454765	0.0207585520965237	-2.26699734519525
CAGL0C03674g	18.1914288240049	32.5877562229307	8.30269145341483	0.00604649517250321	0.0207699137712419	-2.26747134672907
CAGL0F06149g	-8.01622734172129	39.3893324369521	-8.30229938201157	0.00604721886208277	0.0207699137712419	-2.2675056213413
CAGL0A03278g	-2925.95773405561	3838.92313298668	-8.29880122040482	0.0060536810699624	0.0207793531205151	-2.26781160396862
CAGL0M09229g	128.349574366919	162.967381343883	8.27702595709074	0.00609412069062325	0.0209053373783183	-2.26972340647917
CAGL0H09658g	-86.686359526488	339.379508162741	-8.27486868479613	0.00609814719709327	0.020906331842976	-2.26991347966645
CAGL0I10296g	63.3989760901041	121.635569048954	8.26657660182874	0.0061136582330919	0.0209466734930491	-2.2706452103798
CAGL0F03201g	33.9679866088585	60.1303623889429	8.26229591739661	0.00612168680207004	0.0209523370341135	-2.2710236610051
CAGL0H06875g	-10.2982470926175	49.5725464651417	-8.26170250812998	0.00612280090273023	0.0209523370341135	-2.27107616155211
CAGL0G05874g	-87.9992516437445	117.232212961627	-8.25230316141449	0.00614048493742754	0.021000008083684	-2.27190897997244
