genes	del4.20min	del4.30min	average.d4	wt.20min	wt.30min	average.wt	minus
CAGL0B03201g	2.00127963009697	2.35761426082157	2.17944694545927	2.03083780164135	2.61801796726558	2.32442788445346	-0.144980938994195
CAGL0H04939g	1.46252751721597	3.39312306858025	2.42782529289811	2.1075282701327	3.57680852521252	2.84216839767261	-0.414343104774503
CAGL0B02860g	1.53111208332189	2.78894441469052	2.1600282490062	1.50267645388512	3.21826276187766	2.36046960788139	-0.200441358875187
CAGL0L10186g	2.79842488155032	3.20740248671233	3.00291368413132	2.81081774654972	3.33110628927798	3.07096201791385	-0.0680483337825253
CAGL0J06908g	1.92594482200387	2.29431351900457	2.11012917050422	1.82994873241391	2.40782050255735	2.11888461748563	-0.00875544698140907
CAGL0L04664g	2.09831103573787	2.23968687585602	2.16899895579695	1.96244156571892	2.44537462797008	2.2039080968445	-0.0349091410475513
CAGL0L03982g	1.66832412178091	2.6044304990969	2.1363773104389	1.56346603785587	2.89427879012152	2.22887241398869	-0.0924951035497887
CAGL0J08316g	1.48008787172602	2.45064968442561	1.96536877807581	1.79689012833905	2.47131299192327	2.13410156013116	-0.168732782055347
CAGL0J09262g	1.89670709249499	2.99947386583155	2.44809047916327	1.75220612594828	3.2034040779182	2.47780510193324	-0.0297146227699705
CAGL0A04675g	2.03808682411291	2.76693286439197	2.40250984425244	2.16621423292963	3.29017591780755	2.72819507536859	-0.325685231116157
CAGL0C05027g	3.22350243595477	4.9907419856879	4.10712221082133	3.22727002178579	5.63735927627281	4.4323146490293	-0.325192438207968
CAGL0K04301g	2.23439276458194	3.90608122252061	3.07023699355127	2.09980082958859	4.07045645569967	3.08512864264413	-0.0148916490928568
CAGL0G04455g	1.49363444473041	3.17673798536698	2.3351862150487	2.10730674807462	3.38472973103823	2.74601823955642	-0.410832024507728
CAGL0G05269g	3.68123149856565	6.33704361375166	5.00913755615865	3.4443757491713	6.65665575264602	5.05051575090866	-0.0413781947500045
CAGL0C04939g	2.10259579390765	2.58593434229761	2.34426506810263	2.22270912836883	3.01174295387128	2.61722604112006	-0.272960973017427
CAGL0H10120g	1.77178877392737	2.60911666358951	2.19045271875844	1.98975309057263	3.19195453368075	2.59085381212669	-0.400401093368248
CAGL0E05962g	1.32706143367363	2.44282411838756	1.8849427760306	1.51122029211641	2.71441111061369	2.11281570136505	-0.22787292533445
CAGL0M02211g	1.54076975046938	2.36201165256998	1.95139070151968	1.54960854113139	2.60456438827985	2.07708646470562	-0.125695763185942
CAGL0D01474g	1.94139932534916	2.70160063153221	2.32149997844069	2.28547215817202	3.16030978621069	2.72289097219136	-0.401390993750673
CAGL0L12012g	1.73496612169776	3.20983716400615	2.47240164285196	1.77503265642699	3.26578979381555	2.52041122512127	-0.0480095822693136
CAGL0L00649g	2.12825003538863	3.44548520104822	2.78686761821843	2.14693382402318	3.75262842690867	2.94978112546592	-0.162913507247497
CAGL0F07975g	1.57640173840406	2.08428563105278	1.83034368472842	1.95238811429058	2.57865730753703	2.2655227109138	-0.435179026185385
CAGL0I10010g	3.88203076775052	1.06934544753982	2.47568810764517	4.39596172883669	1.52085049643682	2.95840611263676	-0.482718004991585
CAGL0F07513g	2.71302152600815	3.68475657371575	3.19888904986195	2.74212762334134	4.29254995143931	3.51733878739032	-0.318449737528372
CAGL0K03459g	1.82541906400693	2.82442462053656	2.32492184227174	1.85990349629471	3.06230138069381	2.46110243849426	-0.136180596222519
CAGL0K08734g	1.43182230311746	2.20589904059441	1.81886067185594	1.82404567528596	2.61552099007837	2.21978333268216	-0.400922660826227
CAGL0B03465g	1.69707288048753	2.07206092527773	1.88456690288263	1.59104411473461	2.43936617025879	2.0152051424967	-0.13063823961407
CAGL0D02134g	1.39678463671769	2.40699600960989	1.90189032316379	1.87992645585657	2.88396513998246	2.38194579791951	-0.480055474755724
CAGL0M03025g	2.09016694412981	2.79212162390938	2.44114428401959	1.99072116506719	3.14591462095185	2.56831789300952	-0.127173608989925
CAGL0E01815g	2.10838233702574	4.15694969424253	3.13266601563414	2.55294037077215	4.07336208191653	3.31315122634434	-0.180485210710202
CAGL0J08976g	1.40785138203348	2.4810161209085	1.94443375147099	1.8564426221253	2.98871777344192	2.42258019778361	-0.478146446312619
CAGL0H02585g	1.57366735004616	2.39354137001498	1.98360436003057	1.87133699562269	2.86989303126678	2.37061501344473	-0.387010653414162
CAGL0E05170g	1.63976983394744	2.00644569669131	1.82310776531938	1.61731352653211	2.14134175794558	1.87932764223884	-0.0562198769194673
CAGL0D04752g	1.44291074281312	2.55042730867222	1.99666902574267	1.64325714077908	2.61778697777163	2.13052205927536	-0.133853033532686
CAGL0H02717g	1.93403367858848	2.67366460821592	2.3038491434022	2.04830663980452	3.18059596409884	2.61445130195168	-0.310602158549476
CAGL0F00605g	2.33423593088331	3.80449342158876	3.06936467623604	2.692956745305	4.42995354172911	3.56145514351705	-0.492090467281017
CAGL0M12474g	3.095242190339	4.00395094910248	3.54959656972074	3.14920298187407	4.24866374087641	3.69893336137524	-0.1493367916545
CAGL0H00704g	2.49646344381978	2.72227014874354	2.60936679628166	2.54265527111722	3.03826414676181	2.79045970893951	-0.181092912657857
CAGL0K10604g	1.72883825297008	2.4061874695764	2.06751286127324	1.66774033343268	2.8093987485279	2.23856954098029	-0.171056679707048
CAGL0M01870g	1.0701770145432	3.24172463545058	2.15595082499689	1.56976584801657	3.72762176968989	2.64869380885323	-0.49274298385634
CAGL0E04554g	2.06034601433663	3.21310712843332	2.63672657138498	2.13849673220161	3.44225168151091	2.79037420685626	-0.153647635471286
