genes	logFC.wtvswt.20min	logFC.wtvswt.30min	logFC.wtvswt.45min	logFC.wtvswt.60min	logFC.wtvswt.90min	logFC.wtvswt.120min	logFC.wtvswt.150min	logFC.wtvswt.180min	logFC.wtvswt.240min	logCPM	F	PValue	FDR
CAGL0F01683g	-1.33829737945925	-3.58152053110578	-5.78388356842867	-6.26611338070358	-6.23073438165873	-5.64891809440309	-5.41622284208732	-5.75114277147666	-4.57867399826493	8.5213454071192	202.399210039897	6.74737263656077e-11	8.51261130018614e-09
CAGL0J07898g	-0.657246423546103	-1.24566212283471	-1.93808653015935	-1.93764193041995	-2.09269026576214	-2.08779086309921	-2.01923368894752	-2.09514496707237	-1.74163306509584	7.05454370318215	175.763838368212	6.95964435181105e-11	8.51261130018614e-09
CAGL0G08173g	-1.19944050533719	-2.65066020642464	-4.17968063729141	-4.1947095469216	-3.96186612106971	-3.50339178786329	-3.39375097156894	-3.72193215084105	-2.99039999330394	10.4865075419106	175.589971398767	6.99855821514349e-11	8.51261130018614e-09
CAGL0H04675g	-1.1513636977801	-2.02410661335491	-2.50682950049458	-2.54063856903636	-2.67615072255838	-2.6417720747749	-2.43608414536197	-2.62690596839496	-2.18570698245745	7.63513053919459	174.808072832183	7.17675082701199e-11	8.51261130018614e-09
CAGL0G01991g	-2.13604767170421	-3.37570354266663	-3.67571714678023	-2.91402511651628	-2.44445406922128	-2.1123165578103	-1.74022248971236	-1.79489943868778	-1.68584203501411	6.35882435685985	173.546329401291	7.47567677106557e-11	8.51261130018614e-09
CAGL0E05522g	-1.85730449909959	-3.99740896355178	-5.24273998968914	-5.62501221113428	-4.42547372818253	-4.94797877734275	-4.78090901762131	-5.09550383893614	-3.74379391117275	4.22169635491432	172.923805085287	7.62854283971071e-11	8.51261130018614e-09
CAGL0F03707g	0.691097379304807	1.55804785442788	2.38543921437315	2.52866551681691	2.73010989888764	2.86255608400433	2.97855141160693	2.6120458685822	2.90979013641518	7.44000557522613	171.93643372144	7.8786044557363e-11	8.51261130018614e-09
CAGL0J08679g	-1.69483200337401	-3.15756361988367	-3.496877699175	-3.31217618064213	-2.94482904768107	-2.68062367749429	-2.51525616324316	-2.74051859682303	-2.40891615257584	6.5440006725503	171.90049444671	7.88788667057272e-11	8.51261130018614e-09
CAGL0A03388g	-1.13730761883254	-2.4506205496969	-3.27577935580313	-3.48551430416356	-3.93012906146965	-3.52110083682218	-3.28372610196561	-3.41617485927698	-2.84119383520853	10.3311992371226	170.811402652001	8.17536676857261e-11	8.51261130018614e-09
CAGL0E03289g	-2.11446162100157	-4.42863514259936	-4.7011483247678	-4.0399735100739	-3.6167791299005	-3.0489424144095	-2.86464905711598	-3.02168670857961	-2.23335618269351	6.88055538797534	176.50238391266	8.28449436679895e-11	8.51261130018614e-09
CAGL0M09977g	-2.4111168211001	-4.26049552058398	-4.62285706230472	-4.43790113935786	-3.49523209181805	-3.02823830826106	-2.64494056333661	-2.83486763707848	-2.35972139542227	5.87958436571233	170.378346476208	8.29308837267418e-11	8.51261130018614e-09
CAGL0B01122g	-1.62540064495349	-4.31220366228028	-6.26399976209365	-6.39020563921788	-6.26497112232233	-6.68535757287136	-6.48774977094522	-6.68865489054593	-5.92626018101867	8.44577105660453	203.330708215139	8.54911490640771e-11	8.60665702597007e-09
CAGL0B04257g	-1.85028996508006	-4.04994745252262	-4.86234178465569	-4.78841148179802	-4.39872604349433	-3.93435654080732	-3.34275000095179	-3.6156843167462	-2.9884194373179	10.1980683429415	166.804244857929	9.34468755577089e-11	8.90454383579534e-09
CAGL0C01661g	-0.0622874988191318	-0.252004372933253	-0.232640477143847	0.421061757111647	0.862547637731758	1.03823009917201	1.28283763569786	1.62598572257124	1.20808819222523	6.48950225837438	166.154297091781	9.55237349081681e-11	8.90454383579534e-09
CAGL0L04532g	-1.24768828473988	-2.52807415379074	-3.31910270106331	-3.04840089524825	-2.99531528733319	-2.80320802589096	-2.93397421700577	-3.02571866370693	-2.68927312217113	7.35526547693392	165.764608252569	9.67949738270452e-11	8.90454383579534e-09
CAGL0I02926g	-2.03848979231265	-3.69532756612736	-3.756645395343	-3.34574608906627	-2.8646260038858	-2.41355425814221	-2.2588787456193	-2.34259716043265	-1.66307499489896	6.95385399995662	165.153181047938	9.88298786440451e-11	8.90454383579534e-09
