genes	pho80pho4vspho80	del4vsdel4.20min	del4vsdel4.30min	del4vsdel4.45min	del4vsdel4.60min	del4vsdel4.90min	del4vsdel4.120min	del4vsdel4.150min	del4vsdel4.180min	del4vsdel4.240min	no.pi.del4.sec.max
1393	CAGL0F04807g	1.5808131620165	2.08442575151102	3.56455654583467	4.10762689705899	4.12865194238111	4.29531266057587	4.18384955979221	4.21648424734562	4.17004913171658	3.80742092241659	4.21648424734562
1486	CAGL0F06941g	1.61428141840042	0.589465573645805	1.62582056975319	2.23453093827984	2.00716855514673	1.81155396552925	1.55021196119107	1.48517551761861	1.27696529165667	0.933414813704559	2.00716855514673
1509	CAGL0F07513g	1.74260074973751	2.71302152600814	3.68475657371575	4.19218845998503	4.27444412832284	4.50552346632742	4.53685120460387	4.67064513920093	4.55766797412061	4.24799899754898	4.55766797412061
1521	CAGL0F07777g	2.24571544519095	2.6792521223672	4.74021115640799	5.91264707808549	6.13584951848493	6.79635840930227	6.70779182661873	6.77969198706549	6.93413610914507	6.54917648107876	6.79635840930227
1644	CAGL0G01540g	4.42987274852012	3.45489779272714	3.64614926047722	3.59786909751715	3.7995321766815	4.19787342378817	4.06693875484066	4.08058797872968	4.3119708630421	4.02196939928628	4.19787342378817
1652	CAGL0G01738g	2.42648030097224	3.18385468963437	5.25269155142946	6.29413124752633	6.40421077376284	6.79939676170971	6.82610451031852	6.92242495318074	6.88694249811124	6.59565946623094	6.88694249811124
1697	CAGL0G02717g	3.70256228682325	3.18186566428308	4.45238130542129	4.7445672519476	4.78847648204871	4.92611938618525	5.03657692438628	5.06399269342786	5.37727827380538	5.35795042871477	5.35795042871477
1698	CAGL0G02739g	8.03907967641481	4.01697463971958	6.4025557745978	7.17194604192996	7.45105011816155	8.19214135882732	8.23772352028035	8.16707016576543	9.01607966389891	8.87563931557231	8.87563931557231
1703	CAGL0G02849g	1.56792705402089	2.85880509340656	4.28015559845515	4.53993143076681	4.60565988006093	4.75576317305249	4.61493917805826	4.6369662877286	4.51765184169953	4.02158136380231	4.6369662877286
1766	CAGL0G04433g	1.99038494448178	0.139023921228247	0.244166884629482	0.609560295538633	0.994022241701588	1.97665159044376	2.16226136230896	2.35635245214646	2.56970899409419	2.31573397682191	2.35635245214646
1840	CAGL0G06050g	9.24328738743593	2.40326526824868	3.93186707341898	4.22476187539103	4.16115789136264	4.40129216448513	4.33813906765334	4.53585348752475	4.36766455074555	4.39572901077951	4.40129216448513
2041	CAGL0H00704g	1.50793816532394	2.49646344381978	2.72227014874354	2.52574888231668	2.80984005967096	2.70916501662815	2.55561829070812	2.70745444896015	2.46425825002238	2.71797122757025	2.72227014874354
2099	CAGL0H02101g	2.49248795729535	4.65915072503187	6.76009990056378	6.96066963001927	6.70982358299037	6.78393157573354	6.60679507856867	6.52246625282856	6.47213787230545	6.1651262297809	6.78393157573354
2112	CAGL0H02387g	1.75330933851171	3.08089427894935	4.02114214444751	4.50149308906273	4.38369365670184	4.22764783576503	4.09831328550052	4.03814568190791	3.92464353423572	3.67755050183326	4.38369365670184
2371	CAGL0H08173g	2.44600177950632	3.17235952338111	3.59761605979441	4.05179785487358	4.2523923625537	4.4109390135429	4.16587569908105	4.0940319374982	4.2921179860796	3.69309024238484	4.2921179860796
2400	CAGL0H08844g	2.42050639729098	2.68987366031437	4.14480580960904	4.67221622921558	4.59157312537781	4.78121421039783	4.6196030143957	4.58241292521329	4.62499974986741	4.2933505877769	4.67221622921558
2419	CAGL0H09262g	1.52342432229306	1.47668475490998	2.78030871192129	3.4777015950485	3.33069765385406	3.15373482680406	3.01492927197507	2.65785559639856	2.94153243442233	2.44946400587335	3.33069765385406
2503	CAGL0I00726g	3.29852156402135	1.31419049461812	1.5313156271996	1.71109992942364	2.43603097161104	2.87316069018773	3.23784681472289	3.12704419767956	3.61337757860333	3.15974004711005	3.23784681472289
2815	CAGL0I07865g	2.02478935301282	3.49832229031889	4.63438605771404	5.27583992486255	5.35714160365133	5.53408327759564	5.6296166040973	5.68010237004721	5.68278778557065	5.54371670711877	5.68010237004721
3041	CAGL0J02508g	3.5710356389564	3.22704522279442	3.92677147450667	4.31886879799516	4.44718618470739	4.83488061909745	4.71916146866781	4.78857774060335	4.92646941522654	4.50278400171415	4.83488061909745
3043	CAGL0J02552g	3.80398439008467	3.5736419880632	4.44299502136666	4.63614399751123	4.85615477779083	5.27219620156998	5.30257699352344	5.31145065272428	5.44137049756282	5.13982524462784	5.31145065272428
3105	CAGL0J04004g	2.23345062732171	2.69182338414061	5.03371082854011	6.24759923535509	6.13735320240201	6.02927042024274	5.69654000861502	5.54584940139283	5.49323182258434	5.33490705687665	6.13735320240201
3114	CAGL0J04202g	2.71026102849898	4.2598212537815	5.91116413112793	6.62659741842211	6.53331388333304	6.88288007274991	6.84878633423929	6.79963289381118	6.8816374779189	6.53065580941686	6.8816374779189
3300	CAGL0J08294g	1.6827998353797	1.2269503472891	1.5980132603358	1.69616914753862	1.75840758431737	1.8607717057879	2.08997919554469	2.27471178717279	2.53980236356375	2.6035792080871	2.53980236356375
3301	CAGL0J08316g	1.74726323577077	1.48008787172602	2.4506496844256	2.48603377546659	2.50186862211577	1.86908878897829	1.16900400938579	1.09572817206992	0.942587058139299	0.696008142541823	2.48603377546659
3396	CAGL0J10494g	1.67310230178541	2.30660811659666	2.9687971285589	3.23100406769948	3.1767910018467	3.1409046482714	3.05137586933438	2.76639500621606	2.90131780294373	2.85404798130523	3.1767910018467
3591	CAGL0K03069g	1.97031580738667	1.09302239132048	1.24485876051923	1.54656853039665	1.86898822593643	2.22244717411789	2.12904480506527	2.02760280659019	2.17222393740256	1.91516379357465	2.17222393740256
3606	CAGL0K03421g	2.7393200018212	2.90955884740499	5.26988940115168	5.75025310548227	5.74745665154987	5.65639054928586	5.3758200848522	5.26220676751992	4.80520610731725	4.0857931793776	5.74745665154987
3645	CAGL0K04257g	2.63892451419817	1.07070556678715	1.58180133139044	1.38160982751225	1.67133881407993	1.55777305555857	1.98580396465907	2.03085712719836	1.96339467600468	2.03102399157467	2.03085712719836
3647	CAGL0K04301g	2.1029876207302	2.23439276458194	3.90608122252061	4.79572110434633	5.00686922821746	5.03716452307143	5.30216174930874	5.58173265105941	5.73025893386624	5.65098813865178	5.65098813865178
3790	CAGL0K07546g	9.21923993021483	0.639683375365576	2.82297936951618	3.86601390391346	3.93868693969101	3.13920958881724	2.74038333338708	2.74162677385741	2.28393479101105	1.76858648412027	3.86601390391346
3849	CAGL0K08844g	2.02611350419921	1.76424938375489	2.55759680065931	2.82461634524571	2.80449824245246	2.71462480359421	2.71634605591797	2.61716676182029	2.58210863717424	2.44345722817995	2.80449824245246
3906	CAGL0K10164g	3.63005827779943	4.97846170287449	6.81729012219332	7.36441000961941	7.89097034368182	8.38684569911736	8.31146151539138	8.68256748290296	8.70790306610403	8.18611635128699	8.68256748290296
3923	CAGL0K10604g	1.75910709525924	1.72883825297009	2.40618746957641	2.45348788521859	2.22903023004729	1.98057943551231	2.03014172626207	1.95614816366707	2.0314988820961	2.05660510831124	2.40618746957641
4096	CAGL0L01771g	1.58881866067907	1.47880176651552	1.86187629904616	1.65831435081405	1.30010599785191	0.949779433963929	0.85479866363855	0.776795087951005	1.2640846881939	0.998346831387233	1.65831435081405
4218	CAGL0L04378g	2.29209144781422	2.88234517807008	3.78538772725799	4.36140195275555	4.65695359517279	4.93631479475697	4.94211766692674	4.91997643891117	4.91207481812244	4.68524261823669	4.93631479475697
4231	CAGL0L04664g	1.67038949126506	2.09831103573787	2.23968687585603	2.46232498424736	2.72314295285357	3.16998186760867	2.89709510773335	2.81487367482284	2.94148069345446	2.51193052182504	2.94148069345446
4262	CAGL0L05434g	2.87017042607675	2.66185369538979	3.76170537782705	4.49091580679812	5.11476575893229	5.51105650375076	5.71952177488501	5.90596393380416	5.85501920963023	5.87959241140338	5.87959241140338
4363	CAGL0L07766g	1.9786953091497	-0.957597077128945	-0.705816701060435	0.182132608619355	0.186620100103779	1.11531963732332	1.25007128817899	1.42524637307128	1.76402556668324	1.79458821083179	1.76402556668324
4748	CAGL0M03305g	4.41057077098038	0.296370463735158	0.498409248331368	1.32924872101882	1.24668246016627	2.14397977286255	2.47583159155083	2.89620934351089	2.83288750882237	2.35214802710078	2.83288750882237
5127	CAGL0M11660g	4.6102321547423	0.175371601404336	-0.307806075568326	1.04262732846235	2.37315197571982	3.68003655234985	3.83043928426708	4.02985928417876	4.21118794951252	4.19384657989059	4.19384657989059
5194	CAGL0M13189g	1.59773772057848	3.10581253986875	4.34045974616634	4.54088979427497	4.70941638516566	4.75662756386194	4.73025489781307	5.03484070822087	4.95422643204328	4.80625635551923	4.95422643204328
