genesymbol4	S37	S38	S1	S2
CAGL0G06952g	8.72809724940799	8.82583396523879	6.93349501794003	7.07591263311804
CAGL0C00110g	7.68554881675768	7.27582362042002	1.36125882347671	0.809048971593458
CAGL0L13354g	1.15198554805796	1.34483737237986	-1.02448211114575	-0.907336673841057
CAGL0H04147g	1.2273859076954	1.34483737237986	2.65732052369966	2.62539296776359
CAGL0F08085g	5.61352261854841	5.62183765732132	4.025084657523	4.17430081739518
CAGL0F08745g	4.86039500810774	4.74649151058122	1.76557496172101	2.06689219025952
CAGL0I04554g	8.62512809008036	8.39308383351331	6.25006711041911	6.33132311230821
CAGL0E04466g	-1.66867446866419	-1.73658465190743	0.403364842729739	0.192335937121264
CAGL0I00726g	0.591512186921112	0.116440570002199	-3.7162330380728	-3.7162330380728
CAGL0F02145g	8.3568248201244	8.42540192568951	7.13031286533277	7.22587783369316
CAGL0G02717g	6.23703550945238	6.27340196550684	2.21617490510117	2.66058293083731
CAGL0B02475g	12.3310646062872	12.3569116517121	2.21617490510117	3.54294124818232
CAGL0J11176g	6.39662659160037	6.44641524147342	5.19535494938036	5.32722089272151
CAGL0K06380g	3.64106389510767	3.56507942952806	1.36125882347671	1.64307332408781
CAGL0K05247g	1.96028615513275	1.8718372732022	0.797502938470557	0.677796996613548
CAGL0F06193r	-0.854651661234078	-0.932160681910556	1.76557496172101	1.41479682228955
CAGL0I10791g	5.29215491819718	5.14840868236393	3.828136448658	3.68643395378511
CAGL0J09020g	5.87618330705636	6.04531655005546	4.69137541625902	4.73264322809207
CAGL0A01650g	7.19933239476475	7.32904753288896	5.09369452683239	5.37037022936766
CAGL0L04664g	7.81874372308519	7.77203000901225	6.27350282209962	6.0354324912936
CAGL0K03069g	6.68775144484618	6.58582425899325	4.84527249440439	4.56633014284857
CAGL0I10054g	4.68426739107316	4.78802284329383	3.49756339456317	3.63428228031226
CAGL0F08195g	1.4324829420404	1.27977959587157	5.24361920346155	4.66493812154401
CAGL0J10494g	5.94201395912209	5.66705887479029	4.13151819080765	4.09933835530807
CAGL0D04400g	-1.66867446866419	-1.27901749550777	-3.7162330380728	-3.7162330380728
CAGL0L04378g	6.65227928834814	6.31863899738774	3.9877873691756	4.24555986599192
CAGL0G02739g	5.74762440640019	5.98791850835575	-3.7162330380728	-2.13007149558218
CAGL0E01837g	6.58936401207237	6.57908015486183	5.14541999868919	5.37567427337264
CAGL0F06677g	0.200555063358326	0.258282267739849	1.76557496172101	2.06689219025952
CAGL0M00880g	8.8287510090621	9.08013723583182	7.21344445396779	7.3816205693128
CAGL0C05643g	2.41200410357724	1.34483737237986	-3.7162330380728	-3.7162330380728
CAGL0L03685r	1.29904053235621	0.812323970687801	3.69561763958588	3.61647086723868
CAGL0C04323g	4.09809393147522	4.10530923272292	2.55902715649289	2.82470463874261
CAGL0A00737g	3.07417442253873	3.34423189718239	0.797502938470557	1.14348417698707
CAGL0H02563g	5.15887627265621	5.06880556383737	3.828136448658	4.03374964219126
CAGL0H03416r	-0.854651661234078	-0.932160681910556	0.403364842729739	0.677796996613548
CAGL0L02321g	4.61576289181142	4.95360086250311	2.33973582889912	2.66058293083731
CAGL0L02827g	5.45001186383678	5.28314326754776	3.910169185997	4.12476109169919
CAGL0K07524g	8.36258484581628	8.30999047902923	6.69398688916614	6.99378580696477
CAGL0L07766g	4.08801485119075	4.30651933449775	1.93190839706477	2.3079053166348
CAGL0K04169g	6.47992352066691	6.53271372288534	5.39374915822533	5.59162400154041
CAGL0M02629g	8.99338534675172	9.03372364150241	7.18489009426973	6.74191828714146
CAGL0C02321g	6.50286525148338	6.84950910770238	5.05815097896448	5.07019592165181
CAGL0D01265g	3.99398687098329	3.36005466215233	0.797502938470557	0.677796996613548
CAGL0J07040g	8.00703598219734	7.88911669903523	6.38528980715054	6.66602486803597
CAGL0E01859g	5.19219215211029	4.86211718574726	2.4535440549573	2.85540184277771
CAGL0I07865g	6.24158920066534	6.05749785627648	4.38205456747163	3.99291568472547
CAGL0E02255g	9.07091460193848	9.05484030413917	10.4195050490872	10.1573740346669
CAGL0L00429g	7.3743671808496	7.60447585330304	6.39956109569543	6.40320663495075
CAGL0C00209g	1.4324829420404	1.8270007261284	-0.140685762125941	-0.255166609434627
CAGL0M03025g	4.2773206639947	4.5187514561081	3.13776740026411	3.25133505912498
CAGL0K08338g	4.8897026276865	5.11149486055461	3.94950020492822	3.84779806697464
CAGL0M03465g	1.49484400573179	1.46676245222966	-0.140685762125941	0.192335937121264
CAGL0E05984g	5.06949772406714	4.86211718574726	-0.140685762125941	0.9293494563109
CAGL0M11000r	-1.20499608604852	-1.73658465190743	-3.7162330380728	-3.7162330380728
CAGL0D05170g	7.16258556847386	7.10324776677563	-3.7162330380728	-1.39286621260033
CAGL0H01177g	7.13470391565217	7.18435923178393	5.51668375094216	5.85731543313074
CAGL0E06292g	4.1081030846696	4.89507198964454	-0.140685762125941	0.533398078851324
CAGL0L13409r	1.07242613241283	0.901521258764643	8.18657182210499	6.63539786547864
CAGL0K12254g	8.19720175400433	8.29154458286833	7.00056839404189	7.2433918084161
CAGL0F02387g	8.74983689026682	9.07115345175333	7.53441648823533	7.57385377472701
CAGL0H02101g	6.20940733269825	5.95963850578024	3.13776740026411	3.73676599391656
CAGL0G01738g	6.97296253525942	6.73586143940087	3.9877873691756	4.57557825657314
CAGL0J03883r	2.44396717788059	2.61445399150925	5.49025594021739	4.85920762185552
CAGL0K04257g	3.58483226287859	4.20504556691559	1.36125882347671	1.14348417698707
CAGL0B02137r	-0.337419939378661	-0.932160681910556	1.93190839706477	1.7117881128812
CAGL0L13398r	9.08016035267369	10.1516708562423	13.7352200393802	14.0300114037275
CAGL0C02365g	2.99007521270214	3.04471819936132	1.57753451241987	1.90023831985821
CAGL0B02882g	5.62053216262417	6.26921829365492	-0.140685762125941	1.14348417698707
CAGL0E04884g	7.38160580913182	7.11378544787161	6.16072425628418	6.20591615193993
CAGL0J00363g	0.70137484778163	0.505939112484424	2.65732052369966	2.21627302820121
CAGL0J02508g	6.96058634343851	6.7762221313379	2.55902715649289	3.5616779623206
CAGL0E01793g	9.11594208272368	9.11085490256574	6.97220362357189	7.47847360254807
CAGL0J02530g	3.85825073476984	3.7079351794658	0.797502938470557	1.49496994646576
CAGL0F06941g	8.96544136861633	8.93252840319613	7.06466146024028	7.5089628142006
CAGL0G06050g	7.91096537072153	7.74441676869535	-3.7162330380728	-0.907336673841057
CAGL0F07777g	6.79387528110129	6.21804440895281	4.025084657523	4.3244773074006
CAGL0J00561g	8.43643809634588	8.48343661948993	9.41958519498549	9.71928081936456
CAGL0M10351g	7.16618290047101	7.26009846091324	5.74619810423222	6.09452732258288
CAGL0K05390g	8.37559091271242	8.4183349102154	6.53500846199583	5.92037394079222
CAGL0C00539g	6.99065388100315	6.7328263559827	5.66582551918465	5.83438466025212
CAGL0D06600g	7.84591338198638	7.67099821574484	4.84527249440439	5.55468891764133
CAGL0L04598g	6.70928119141101	6.37033412163935	5.11114322335412	5.28274111525069
CAGL0M11902g	2.41200410357724	2.9433342576361	-0.140685762125941	0.372922278523475
CAGL0H03311g	1.49484400573179	1.8270007261284	-0.140685762125941	0.192335937121264
CAGL0L09493g	2.96826144077964	2.64060026545463	3.9877873691756	3.93660790159591
CAGL0H08261g	2.78075089480409	3.06416723464611	1.93190839706477	1.84011576674705
CAGL0G04829g	5.17800801950805	5.12544846125085	3.74115655538274	4.09933835530807
CAGL0G09273g	4.28616408630539	4.64035367353311	5.66582551918465	5.81108352182258
CAGL0K01961r	0.591512186921112	1.8270007261284	5.24361920346155	5.21333942308397
CAGL0K03421g	6.09830872816305	5.50572575015859	2.55902715649289	3.22806504603471
CAGL0J11550g	4.4126951695421	3.83791113201287	2.08103178608419	1.7117881128812
CAGL0I10747g	8.55962359532066	9.04753038246962	7.18489009426973	7.21260139681257
CAGL0M12474g	4.08801485119075	3.76847027406926	1.76557496172101	2.2628165493998
CAGL0L03267g	7.34504391348421	8.52876508697615	4.19834768750307	3.97904342706693
CAGL0I00242g	3.62721012372226	3.42166543200698	5.92455726851557	5.30515241687946
CAGL0G02882r	1.15198554805796	0.615457963072794	2.83584428285358	2.62539296776359
CAGL0M05401g	0.8034601221654	0.717246335814796	1.76557496172101	2.11842363738061
CAGL0C04939g	4.8897026276865	4.57406586022622	3.49756339456317	3.20441353647476
CAGL0K05687g	2.27656159452193	2.11502150239976	0.797502938470557	1.14348417698707
CAGL0K04301g	3.96123122066049	3.88241503764467	2.21617490510117	1.57092129052087
CAGL0L01771g	5.88202846717398	5.51635522989482	4.32338021082331	3.99291568472547
CAGL0J08316g	7.4392348141315	7.31491007641163	5.17890126117337	5.78739985727073
CAGL0I09724g	3.46533330417199	3.9675046656706	5.40793741978192	5.24266357681119
CAGL0J01463g	0.591512186921112	0.615457963072794	2.21617490510117	2.85540184277771
CAGL0G01320g	5.944809132258	6.02808805980352	4.62003816278478	4.99636729583192
CAGL0J01994r	-2.35613349227612	-3.7162330380728	1.10674450699242	0.9293494563109
CAGL0J08294g	8.13675996170192	7.88638778324434	5.92455726851557	6.47908897694206
CAGL0I05610g	4.97967600733573	4.25667442747415	2.21617490510117	2.47536509237304
CAGL0I03872g	6.39458351365401	6.36642267714767	5.16225775456178	5.50714926218226
CAGL0L06622g	7.37021445652586	7.42525122027449	6.50891724169101	6.16054458492742
CAGL0L06050g	-0.854651661234078	-0.932160681910556	1.10674450699242	0.533398078851324
CAGL0J03080g	2.5651762133506	2.15184633972622	1.10674450699242	0.9293494563109
CAGL0J04004g	5.88494219040527	5.31596310160415	2.91745204780725	3.50472161063248
CAGL0M06889r	-1.66867446866419	-1.27901749550777	-0.140685762125941	0.192335937121264
CAGL0G04763g	8.36936263174827	8.45425046587692	7.16831593159189	7.52575946216866
CAGL0L07612r	-0.854651661234078	-1.27901749550777	0.403364842729739	0.809048971593458
CAGL0I00748g	10.2789547707766	10.2865030396444	8.5787015492439	9.08626261358279
CAGL0M09020g	3.15364009025371	2.78824544557274	1.93190839706477	1.90023831985821
CAGL0B02453g	7.35558505950477	7.0185496818376	5.0400453372794	5.61423728359207
CAGL0K10604g	5.602944029113	5.97769889567708	3.59998648085154	4.17430081739518
CAGL0H06468r	-0.572979296423134	-1.27901749550777	1.57753451241987	1.14348417698707
CAGL0L13392g	2.08714931690293	2.98474664165358	5.00313778573468	5.32722089272151
CAGL0E01815g	2.62216418061701	2.18775456979905	-0.140685762125941	0.533398078851324
CAGL0F00891g	-0.854651661234078	-1.73658465190743	-3.7162330380728	-3.7162330380728
CAGL0F05863g	9.24259276341727	9.61851355619233	8.17209684091452	8.37004097475507
CAGL0C02739g	7.11374378621118	6.88957966223729	5.17890126117337	5.70972882408119
CAGL0F01353r	-2.35613349227612	-1.73658465190743	-3.7162330380728	-3.7162330380728
CAGL0F08899r	-2.35613349227612	-1.73658465190743	-3.7162330380728	-3.7162330380728
CAGL0M06149g	4.8244214156832	5.15295720109247	6.24216983637392	5.9738132819525
CAGL0L05786g	4.4126951695421	4.46854807240558	3.06800150708738	3.50472161063248
CAGL0K01771g	3.38528589174923	2.87889772642135	4.69137541625902	5.17125772512061
CAGL0C05577g	-1.66867446866419	-1.73658465190743	0.797502938470557	-0.0141333734714019
CAGL0M06963g	3.9163670400414	3.15766373655134	1.57753451241987	1.23970349034134
CAGL0E05632g	6.66927960508179	7.0663505998449	3.20431460341403	4.35702083307371
CAGL0C05027g	6.34042178935877	5.67656743607209	2.33973582889912	3.40449329519814
CAGL0J11968g	-0.572979296423134	-0.932160681910556	0.403364842729739	0.809048971593458
CAGL0K10164g	7.98003913730516	7.75268145960016	3.06800150708738	4.66493812154401
CAGL0K05863g	6.48377256675944	6.37812533945985	7.39535462534641	7.86157643666909
CAGL0K12034g	8.32927989054808	8.65638421471757	7.3297966093835	7.58763211190226
CAGL0A03355r	2.34587171050353	2.41682248539721	4.62003816278478	3.86298457035333
CAGL0G07601g	7.93927331399356	8.15593128519862	6.71696176970606	7.12082508609616
CAGL0F04807g	7.10252272257141	7.0615201944888	4.96526120749467	5.69283026868808
CAGL0D00627r	-1.66867446866419	-1.27901749550777	1.93190839706477	0.809048971593458
CAGL0M04917g	-1.20499608604852	-1.73658465190743	-0.140685762125941	0.192335937121264
CAGL0G05544g	6.65227928834814	6.31255320269892	5.12838340572371	5.48277878274689
CAGL0G05269g	3.95014529285064	3.06416723464611	0.797502938470557	1.32990481278116
CAGL0L03916g	6.0129843101702	5.61196019052339	4.57044174441506	4.81303728703293
CAGL0I01936g	-3.7162330380728	-3.7162330380728	-0.140685762125941	-1.39286621260033
CAGL0L08547g	2.85395260326318	3.76847027406926	-3.7162330380728	-1.39286621260033
CAGL0H04939g	1.2273859076954	1.1401406968979	-1.02448211114575	-0.255166609434627
