gene.names	S37	S38	S1	S2
CAGL0B01743g	113	95	23	74
CAGL0B01771g	590	630	218	492
CAGL0B01793g	616	614	230	613
CAGL0B01815g	1111	1113	275	817
CAGL0B01837g	696	732	270	601
CAGL0B01859g	209	185	90	156
CAGL0B01875g	4	2	0	2
CAGL0B01881g	1106	1425	406	1045
CAGL0B01903g	835	896	224	631
CAGL0B01925g	183	193	30	117
CAGL0B01947g	1361	1355	596	1952
CAGL0B01969g	60	69	10	33
CAGL0B01991g	243	227	62	175
CAGL0B02013g	272	310	66	185
CAGL0B02035g	2813	3031	696	1917
CAGL0B02057g	70	82	17	52
CAGL0B02079g	3	2	2	2
CAGL0B02101g	354	375	102	253
CAGL0B02123g	518	504	163	341
CAGL0B02137r	6	4	9	21
CAGL0B02145g	466	456	190	512
CAGL0B02167g	1312	1373	377	993
CAGL0B02189g	2770	3070	886	2193
CAGL0B02211g	462	526	128	344
CAGL0B02233g	339	432	106	273
CAGL0B02255g	836	823	273	630
CAGL0B02277g	528	514	136	370
CAGL0B02299g	235	240	75	170
CAGL0B02321g	2285	2501	719	1771
CAGL0B02343g	61	106	27	77
CAGL0B02365g	572	478	71	548
CAGL0B02387g	190	142	14	118
CAGL0B02409g	572	630	123	404
CAGL0B02431g	2349	2052	142	881
CAGL0B02453g	1373	1157	79	321
CAGL0B02475g	43215	46837	11	76
CAGL0B02497g	2131	2126	335	2236
CAGL0B02519g	1475	1600	534	1254
CAGL0B02541g	1049	1060	336	791
CAGL0B02563g	1260	1090	109	461
CAGL0B02585g	3356	3850	1011	2697
CAGL0B02607g	1795	2519	661	1994
CAGL0B02629g	798	875	241	622
CAGL0B02651g	1	5	0	0
CAGL0B02673g	500	540	159	376
CAGL0B02695g	406	371	81	261
CAGL0B02717g	8915	9251	2444	8109
CAGL0B02739g	536	562	131	351
CAGL0B02755g	293	292	59	188
CAGL0B02761g	206	229	59	180
CAGL0B02772g	389	343	91	198
CAGL0B02794g	1514	1729	477	1760
CAGL0B02816g	330	418	114	288
CAGL0B02838g	814	1040	144	466
CAGL0B02860g	932	994	81	398
CAGL0B02882g	412	688	2	14
CAGL0B02904g	27	39	1	7
CAGL0B02926g	1666	1717	3	8
CAGL0B02948g	70	96	13	26
CAGL0B02970g	701	753	30	203
CAGL0B02981g	523	521	77	375
CAGL0B03014g	635	612	111	436
CAGL0B03047g	11801	15934	4084	11550
CAGL0B03069g	5702	4314	860	4443
CAGL0B03091g	287	336	96	302
CAGL0B03113g	342	306	82	266
CAGL0B03135r	0	0	0	0
CAGL0B03179g	604	629	183	452
CAGL0B03201g	130	87	43	86
CAGL0B03223g	0	2	0	0
CAGL0B03245g	3092	3362	1098	2615
CAGL0B03267g	798	839	223	571
CAGL0B03289g	450	498	114	321
CAGL0B03311g	176	162	28	97
CAGL0B03333g	1114	1271	356	852
CAGL0B03355g	265	294	83	198
CAGL0B03377g	374	426	108	300
CAGL0B03399g	943	1008	355	802
CAGL0B03421g	255	263	117	292
CAGL0B03443g	493	482	101	304
CAGL0B03465g	174	176	31	68
CAGL0B03487g	50939	62336	14287	43187
CAGL0B03509g	2434	2126	429	1557
CAGL0B03520r	12	4	2	8
CAGL0B03531g	97	86	19	40
CAGL0B03553g	1421	1424	578	1443
CAGL0B03575g	616	650	203	548
CAGL0B03597g	877	864	119	752
CAGL0B03608g	162	213	51	153
CAGL0B03619g	969	955	96	427
CAGL0B03641g	423	441	111	380
CAGL0B03663g	55	37	4	185
CAGL0B03685g	6424	6152	1363	4815
CAGL0B03707g	615	653	178	515
CAGL0B03729r	0	0	0	0
CAGL0B03773g	3001	3504	716	2018
CAGL0B03795g	3038	3624	973	2910
CAGL0B03817g	555	450	45	203
CAGL0B03839g	171	212	32	144
CAGL0B03855g	623	624	151	465
CAGL0B03861g	249	263	53	183
CAGL0B03883g	775	786	213	601
CAGL0B03899g	60	49	11	36
CAGL0B03905g	608	648	139	455
CAGL0B03927g	1838	1940	600	1573
CAGL0B03949g	571	809	75	322
CAGL0B03971g	596	673	102	372
CAGL0B03993g	4021	5491	1864	4224
CAGL0B04015g	577	595	154	417
CAGL0B04037g	545	560	117	446
CAGL0B04059g	523	586	75	303
CAGL0B04081r	0	0	0	0
CAGL0B04103g	316	333	75	220
CAGL0B04125g	2941	3377	942	2552
CAGL0B04147g	1010	1141	310	809
CAGL0B04169g	1543	1747	580	1239
CAGL0B04191g	1072	905	304	820
CAGL0B04213g	441	475	68	128
CAGL0B04235g	22	19	11	15
CAGL0B04257g	31189	36985	10574	34258
CAGL0B04279g	508	586	180	402
CAGL0B04301g	698	795	136	444
CAGL0B04323g	1137	1251	135	565
CAGL0B04345g	5769	6542	1953	5299
CAGL0B04367g	280	233	38	164
CAGL0B04389g	667	699	193	490
CAGL0B04411g	265	268	69	190
CAGL0B04433g	1178	1828	299	708
CAGL0B04455g	23	20	4	9
CAGL0B04477g	483	514	116	326
CAGL0B04499g	1633	1801	447	1147
CAGL0B04521g	1441	1478	290	1371
CAGL0B04543g	622	529	108	555
CAGL0B04565g	4020	4085	1338	3649
CAGL0B04587g	1992	2247	471	1954
CAGL0B04609g	495	542	159	449
CAGL0B04631g	1589	1579	423	1139
CAGL0B04653s	0	0	0	0
CAGL0B04675g	74	85	29	153
CAGL0B04697g	1345	1307	403	1032
CAGL0B04719g	107	108	40	81
CAGL0B04741g	610	572	164	401
CAGL0B04763g	304	293	90	179
CAGL0B04785g	122	102	22	99
CAGL0B04807g	1887	2286	405	1827
CAGL0B04829g	382	370	133	274
CAGL0B04851g	1039	1005	328	829
CAGL0B04873g	423	430	108	321
CAGL0B04895g	303	343	106	274
CAGL0B04917g	398	342	57	162
CAGL0B04939g	179	193	51	145
CAGL0B04961g	1607	1729	593	1455
CAGL0B04983g	464	491	138	315
CAGL0B05005r	0	0	1	0
CAGL0B05027r	0	0	0	0
CAGL0B05049g	419	437	249	616
CAGL0B05093g	0	1	0	0
CAGL0B05126g	0	0	0	0
CAGL0B05137g	0	0	0	0
CAGL0B05148g	0	0	0	0
CAGL0C00110g	1726	1383	6	11
CAGL0C00209g	22	31	2	5
CAGL0C00231g	4	8	2	6
CAGL0C00253g	1	0	0	4
CAGL0C00275g	1465	1167	165	543
CAGL0C00297g	837	925	313	709
CAGL0C00319g	994	1031	207	776
CAGL0C00341g	480	522	172	469
CAGL0C00363g	1094	1245	280	735
CAGL0C00385g	809	925	224	688
CAGL0C00407g	388	402	93	223
CAGL0C00429g	501	410	137	373
CAGL0C00451g	818	817	138	442
CAGL0C00473g	563	611	224	468
CAGL0C00495g	310	233	96	261
CAGL0C00517g	620	693	186	527
CAGL0C00539g	1066	949	122	374
CAGL0C00561g	316	273	102	253
CAGL0C00583g	685	628	209	552
CAGL0C00605g	315	309	100	276
CAGL0C00627g	341	313	102	227
CAGL0C00649g	2842	3272	749	2291
CAGL0C00671g	418	337	42	409
CAGL0C00693g	1381	1779	324	1737
