CAGL0M07535r	tA(AGC)10
CAGL0F04675r	tA(AGC)2
CAGL0H02629r	tA(AGC)3
CAGL0H02761r	tA(AGC)4
CAGL0I09020r	tA(AGC)5
CAGL0I09944r	tA(AGC)6
CAGL0I10076r	tA(AGC)7
CAGL0K03311r	tA(AGC)8
CAGL0L01661r	tA(AGC)9
CAGL0A03520r	tA(UGC)1
CAGL0D06116r	tA(UGC)2
CAGL0E03091r	tA(UGC)3
CAGL0G00770r	tA(UGC)4
CAGL0M04785r	tA(UGC)5
CAGL0B03069g	TAL1
CAGL0M02761g	TBF1
CAGL0D04664r	tC(GCA)1
CAGL0H02915r	tC(GCA)2
CAGL0M05555r	tC(GCA)3
CAGL0A03850r	tD(GUC)1
CAGL0C03718r	tD(GUC)2
CAGL0E04730r	tD(GUC)3
CAGL0G04323r	tD(GUC)4
CAGL0H01969r	tD(GUC)5
CAGL0I07337r	tD(GUC)6
CAGL0J00231r	tD(GUC)7
CAGL0K00561r	tD(GUC)8
CAGL0M05071r	tD(GUC)9
CAGL0G09383g	TDH3
CAGL0D04334r	tE(CUC)1
CAGL0J00143r	tE(CUC)2
CAGL0L10065r	tE(CUC)3
CAGL0G00880r	tE(UUC)1
CAGL0H02981r	tE(UUC)2
CAGL0H09570r	tE(UUC)3
CAGL0K06611r	tE(UUC)4
CAGL0L01815r	tE(UUC)5
CAGL0L09427r	tE(UUC)6
CAGL0L09515r	tE(UUC)7
CAGL0M07788r	tE(UUC)8
CAGL0M08470r	tE(UUC)9
CAGL0D01188g	TEF1
CAGL0B03487g	TEF3
CAGL0L11242g	TEM1
CAGL0A01496r	tF(GAA)1
CAGL0E03377r	tF(GAA)2
CAGL0F02189r	tF(GAA)3
CAGL0F06281r	tF(GAA)4
CAGL0K05159r	tF(GAA)5
CAGL0K09636r	tF(GAA)6
CAGL0M01584r	tG(CCC)1
CAGL0A01936r	tG(GCC)1
CAGL0L09405r	tG(GCC)10
CAGL0L09559r	tG(GCC)11
CAGL0M07964r	tG(GCC)12
CAGL0D03366r	tG(GCC)2
CAGL0D05390r	tG(GCC)3
CAGL0D05984r	tG(GCC)4
CAGL0I04158r	tG(GCC)5
CAGL0K10450r	tG(GCC)6
CAGL0K10670r	tG(GCC)7
CAGL0L01133r	tG(GCC)8
CAGL0L09317r	tG(GCC)9
CAGL0E02277r	tG(UCC)1
