genesymbol3.20m	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
CAGL0C05181g	7.9457152	8.099496411	6.339122625	6.479325305	4.92088821	5.03585348	4.921862284	4.330777018	5.158011118	4.882428079	5.591144362	6.175629036	6.201643958	6.475981001	6.148867818	6.592822172	6.827763449
CAGL0B02860g	5.238879145	5.232103008	6.823682772	6.736572687	8.563056066	8.560243641	9.161211015	9.21996517	9.320108371	9.271164686	9.450137647	9.368641541	9.219967404	9.772170279	10.45756186	9.566447654	9.377873042
CAGL0J01331g	6.111057826	6.402229571	8.136430373	7.945760308	9.351458098	9.277411913	10.22468352	10.14964794	10.21213216	10.20728702	10.3432329	10.37938573	10.16345078	10.39710063	10.87424122	10.15806238	9.847213093
CAGL0L12012g	2.406876753	2.710126474	4.67134689	4.001498164	5.99733312	5.912874611	6.885410015	6.98092333	7.024616675	7.198141006	7.434673281	7.500457554	7.522381243	7.404650457	7.781586995	7.24428703	7.085117003
CAGL0E05566g	5.280315202	5.280914374	6.994027749	7.191721171	7.633230767	7.82195291	7.979474781	8.050673012	7.946279275	8.005631436	8.048407909	8.035004306	8.337264934	8.216669027	7.894914806	8.395683957	8.50581717
CAGL0M06787g	6.658643947	6.792833413	4.713042865	5.149692753	3.823533747	3.89790363	3.937523691	3.75447936	4.143484445	4.22563742	4.485667347	4.950179476	5.072531515	4.842726851	4.515200726	5.099171233	5.314255363
CAGL0F01177g	6.731410766	6.847867381	4.812296977	5.113246879	2.972825005	2.921634926	3.244573167	2.513392648	3.712716907	3.462983699	4.409069119	5.045298195	4.941001809	5.108216775	4.426803631	5.087074943	5.637612073
CAGL0I07799g	8.244184804	8.212847688	6.51443338	6.859018586	5.861988898	5.721075019	5.572609662	5.27345169	5.472276047	5.533865846	5.720680679	5.736694963	5.884753143	6.01050583	5.698495329	6.10956375	6.385550607
CAGL0K00231g	4.814278516	4.979549125	5.903310541	5.878187587	7.44203508	7.336939185	8.120499147	7.980484842	8.007237473	8.014777094	7.989244665	7.84136569	7.628266945	7.887487543	8.046934731	7.461313126	7.389608304
CAGL0I10516g	7.883214013	7.778236057	9.100842027	9.129380365	10.11671339	10.15819883	10.43099951	10.34808188	10.35991878	10.3830182	10.4305944	10.34197872	10.31151976	10.31593917	10.75109507	10.15462526	10.11500958
CAGL0L03982g	3.977847874	3.983055579	5.834138889	5.231314856	7.086410265	6.885159547	7.561190932	7.455517082	7.496671634	7.687704782	7.809925897	7.796082748	7.494502742	7.982023138	8.376401287	7.994785351	7.84800258
CAGL0D05016g	6.654710528	6.552261861	4.958137692	5.173488343	4.070225469	4.181548135	3.64696486	4.027914854	4.294860678	4.212978759	4.652024465	4.738770641	5.056731298	4.989994872	4.683120444	5.037649314	5.333980743
CAGL0H10142g	10.23669285	10.29557787	9.233007667	9.092411045	8.125940946	8.158704756	7.297885609	7.333381977	7.79925908	7.383245651	7.645131635	7.768468134	7.551987152	7.641431454	7.127740503	7.385556539	7.78221724
CAGL0L11594g	6.757320664	6.764508607	4.67134689	5.10089074	2.801293361	3.291755519	3.282739748	3.173614481	3.712716907	3.280898879	4.044922752	4.71792221	4.796266616	4.412356482	4.015814513	4.699185407	4.993023053
CAGL0K00671g	7.948930912	7.782479879	5.776309825	6.099276078	3.910536319	3.479840614	1.861546969	1.260735014	1.022845846	0.469133444	1.055039683	2.338187017	2.138060857	1.96375509	1.730139325	2.346299812	3.098743666
CAGL0L08426g	3.278652806	4.002589729	5.518586788	5.48056619	7.310909154	7.845666905	8.06271925	8.344113741	7.942462126	7.918654185	7.558319935	7.544046784	7.74772506	7.454203305	7.97742152	7.417304677	7.657629235
CAGL0L05566g	7.393598386	7.206919647	5.226348578	5.527484158	4.082768168	4.260655563	3.492691042	3.75447936	4.229534776	4.079880063	4.289849714	4.88621199	4.941001809	4.713030412	4.39130846	5.111166945	5.071495433
CAGL0K09570g	8.293082228	8.404921889	7.224127839	7.330479366	5.894368055	6.052806439	5.901756691	6.40488626	6.294620241	6.339468047	5.714906761	6.001109872	6.185751065	6.286081515	6.1531127	6.434755112	6.706268075
CAGL0J03080g	1.187384897	0.849047893	2.641782196	2.430300632	7.463775132	7.287423657	8.697844971	8.340431447	8.233391891	8.234240106	8.618036354	8.155222613	7.713872002	8.26664263	9.866242924	8.166998411	7.752293401
CAGL0E03223g	6.363258677	6.545618936	4.538500961	5.075856381	3.614835497	3.64620897	3.704333576	3.416807668	4.125640875	4.037432204	4.722779509	5.102718037	5.024602065	5.097860815	4.833517302	5.280071853	5.372640393
CAGL0J08844g	7.704496104	7.738013196	6.052875193	6.290942435	5.527750265	5.67368389	5.712001052	5.613234708	5.793705056	5.715354048	6.009543343	6.209629632	6.381108986	6.283799211	6.138200646	6.584241527	6.781822905
CAGL0B01122g	11.04841861	11.0001273	9.269271406	9.519440123	6.880922895	6.520180303	5.155779342	4.306824049	4.755655795	4.520930513	4.762505519	4.653505883	4.050513521	4.540237821	4.547807694	4.072034675	5.100575899
CAGL0I07887g	5.048153123	5.272892971	6.454238503	6.142114573	7.316230188	7.390685377	7.570863072	7.542702473	7.487968651	7.472247177	7.380081224	7.258450495	7.332695326	7.215245975	7.613865271	7.174546816	7.076360639
CAGL0A04521g	12.4017141	12.32926291	11.07318736	11.24060467	9.364358038	9.294744392	7.519844617	7.168720291	7.224359188	7.118930996	7.354313674	7.935799764	7.903362365	8.065438261	7.175472865	7.92599508	8.584604346
CAGL0M13915g	6.786373162	6.858626663	4.681884403	5.075856381	4.385781821	4.03922588	4.582604838	4.270132007	5.218184631	4.982779057	5.235517733	5.577997721	5.274555847	5.491140048	5.71006624	5.766960528	5.759314927
CAGL0C01419g	5.907941145	6.059334472	4.257757612	4.492534952	3.411101668	2.674419606	3.3199226	3.225643427	3.507565127	3.505127791	3.889570246	3.889952495	3.769558346	4.493600537	4.317585645	4.530785961	5.117746909
CAGL0E04884g	5.985150624	5.358766937	7.620383366	7.497679448	8.478964612	8.312045374	8.272857548	8.214126987	8.045700292	7.977841369	7.635994498	7.548481752	7.509089999	7.665298325	7.936757895	7.56307001	7.959347576
CAGL0D00682g	6.856543489	6.979380433	5.433844319	5.319271027	4.247795797	4.52913144	4.095966822	4.193823811	4.502687469	4.757238537	5.691577197	6.331296955	6.145982459	6.505662148	6.424692854	6.959172241	7.055720043
CAGL0D04576g	7.135878198	7.358637239	5.852911352	5.920987949	4.892671568	4.727821126	4.179259797	3.905661531	4.246145649	4.065869089	4.681928555	4.913974629	4.753779919	4.739919253	4.495276836	4.992967718	4.772243331
CAGL0F08525g	7.838834554	8.092677059	6.381759431	6.700175836	5.897921288	5.884015658	5.409698196	5.26103938	5.974042377	5.94320501	6.058238393	6.355121146	6.397509913	6.43748645	6.229470754	6.586391477	6.548485341
CAGL0H07249g	8.080834606	8.067393315	6.420028517	6.787576016	4.927856976	5.164847067	4.969440194	4.580959367	5.175461168	5.209989411	5.670849697	6.282434786	6.309580284	6.308708146	5.844755434	6.484019732	6.620525923
CAGL0B03619g	5.978871997	5.997397754	7.929819036	7.689363969	9.033454386	8.907685171	9.390419581	9.254812051	9.203746402	9.273833541	9.215994183	9.111230907	8.827630437	9.444564059	10.07346421	9.330309454	8.967042041
CAGL0M12122g	8.62301481	8.728252005	6.460372276	6.891663413	4.37562363	4.441302682	4.030181213	3.524580394	4.417256701	4.008423511	4.711225362	5.488509136	5.274555847	5.583105917	4.796005621	5.744032011	5.918027617
CAGL0H03971g	4.293318171	4.756098531	5.857566547	5.76527843	7.195823192	7.477419569	8.529497277	8.81974316	9.125665739	9.219099601	9.253568927	9.043198031	9.041617267	8.944724131	9.361406585	8.860643642	8.805116492
