genes	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0K09042g	-2.79193379065501	-4.38766849886634	-4.79361204740513	-4.12192871975121	-2.92966668928635	-2.06866222479787	-1.86091624646948	-2.25655566694539	-1.50501206775578	3.96254399801022	39.6875467978422	4.40295189328276e-07	2.01834090729731e-06
CAGL0K04323g	1.34591014750386	2.20974938500244	2.52856944960926	2.55031132768639	2.39655880853268	2.13443617470792	2.21230832568889	2.31283993328461	2.03294155352096	5.93006842615038	39.6306902310947	4.43598551777565e-07	2.02815582406598e-06
CAGL0J00825g	0.756372944047945	1.31899099610854	1.63646317301905	1.73676944337681	2.04328334330383	2.02990241648949	2.52025461976032	2.37497479259583	2.09542700644908	7.63152300346185	39.5888376469578	4.46048925826832e-07	2.03757951719325e-06
CAGL0C02211g	-0.884433338163952	-1.80872189508478	-1.43679439761692	-1.19247790976288	-2.00242373890999	-3.13180768222589	-2.63834233916894	-2.28492349941398	-3.3998454198554	6.38646738434093	39.5596982992136	4.47764425554358e-07	2.04117676526535e-06
CAGL0F08525g	-1.44625542067181	-2.07145409434188	-2.64095962270273	-2.00564472378252	-1.90514178280871	-1.585243241675	-1.52562285478571	-1.55911388992302	-1.41450070176581	6.35288165394648	39.555603300146	4.48006132433599e-07	2.04117676526535e-06
CAGL0D05214g	-0.973022161453958	-2.10313721207	-3.81666731912829	-3.96261534697111	-3.73088140127851	-2.91720564851754	-3.01521283614761	-3.30712820782153	-2.52184457635224	8.09029067073396	39.4104488302318	4.56674417313473e-07	2.06813071095237e-06
CAGL0I09790g	-2.44831403829154	-4.89850256237921	-5.1752732136818	-4.90828602153709	-4.22587963545303	-3.38594888266993	-3.11878480920103	-3.43315090476786	-2.49548608333173	6.68610829500811	39.3778148540925	4.58650468750564e-07	2.07395498250406e-06
CAGL0L08888g	0.137465131311968	1.07217478000752	1.72602457604165	1.78181477357605	2.0403672986637	1.95161390438188	1.93601254346098	1.92485143007314	1.73146137129274	7.15534919096276	39.3719898321107	4.59004248226678e-07	2.07395498250406e-06
CAGL0D04180g	-2.4261755884314	-4.02861190544494	-4.00181069193982	-3.39896114237288	-2.89913500886	-2.18438531367858	-1.9557013068614	-2.21023289003212	-1.53028525470656	5.13982636573489	39.3001652215578	4.63393114841538e-07	2.08586668632455e-06
CAGL0B02431g	1.47589086927464	2.21092073416892	2.91151160691897	2.80545242226659	2.3558643220638	2.11210388515519	2.49486505035369	2.58798802782068	2.32930820723962	8.70950893453779	39.2014820060735	4.69504415582939e-07	2.10613163288491e-06
CAGL0J01397g	0.905406650565916	1.88927770195692	2.23122830216541	2.28354862079583	2.1074002626008	2.02235271889736	2.03619269556178	1.99088708726898	1.68945568445066	5.6076451675388	39.1664765447937	4.71695124768313e-07	2.11414724157715e-06
CAGL0M06963g	0.367474634398062	0.826200053971085	2.90932568797412	3.29688046781275	4.07481582191787	4.60390025058228	4.57410714904649	4.53902076985184	4.70498418205156	4.13678426695943	39.1573984046933	4.72265225322944e-07	2.11489174898684e-06
CAGL0J00737g	-0.901803305527563	-2.43931922850657	-4.23752352174678	-4.33408167400738	-4.19548203141059	-3.33276893542903	-3.28237018774771	-3.6606793057822	-2.58912803387734	8.48134265756125	39.1473201638556	4.72899086441098e-07	2.11592027138389e-06
CAGL0D00550g	-1.79097159589064	-3.51732990271915	-3.60297302773058	-2.75920315488638	-2.06866565654137	-1.51723627790595	-1.53150185242574	-1.80662407112237	-1.25660820881456	7.18632335416176	39.1155119992749	4.74906240553704e-07	2.12127488848007e-06
CAGL0M13893g	-1.32152976759923	-2.29101106505851	-2.35068146387845	-2.30391416695704	-2.33792284326665	-2.07485184667882	-2.15598837836545	-2.40284709587563	-1.79511150255922	7.53007641102643	38.9883265706458	4.83033247319745e-07	2.1502372871759e-06
CAGL0I05764g	-0.456164703149587	-0.541083362432197	-0.957946418303765	-1.42414779262216	-1.19239428248413	-2.09599396070217	-2.22331911256034	-1.60116596329584	-1.33864451503189	5.70622414821613	38.9715831557354	4.84115342971141e-07	2.15322329690223e-06
CAGL0G02629g	-2.26762510319719	-4.72868713976897	-5.0295318286824	-4.72317358378933	-3.97821648187706	-3.19886608970893	-3.49581311064798	-3.54798321357707	-2.64357381209085	2.75795014425551	38.9596508865499	4.84888253401183e-07	2.15483022627775e-06
CAGL0J10384g	-1.33295460098798	-2.94950173440921	-5.4244813830464	-5.50805643887578	-5.22170342573306	-4.16408989331772	-4.12347478507305	-4.64677561664273	-3.15142346977009	8.06738498063831	38.8759716257161	4.90349765380605e-07	2.17540764556565e-06
CAGL0I01826g	-1.9596225337698	-3.75696721159702	-3.19569041011149	-2.75963175145779	-2.05725354562092	-1.51135619346969	-1.50226523245285	-1.63381516728975	-1.26401714130566	5.09351044373464	38.8663341157985	4.90983440228271e-07	2.17637452124894e-06
CAGL0C05379g	-1.1706558510811	-2.56152637366823	-5.38619556947539	-5.19099167010475	-4.33537673344944	-3.19484184265963	-2.68966839780477	-3.03457546831807	-2.03180724888936	8.22129372598699	38.8493628299773	4.9210167379416e-07	2.17679914467418e-06
CAGL0G06072g	0.945923756507617	1.54001977901585	1.87508397682547	2.08699023009946	2.2454427837323	2.08249801047373	2.24423473171322	2.28547422635644	1.94375618169535	7.96168343440252	38.8459534023183	4.92326683341782e-07	2.17679914467418e-06
CAGL0B01397g	-2.15986570939164	-4.23585225354642	-3.80471512276099	-3.28846941140228	-2.4285426875032	-2.03258549956278	-1.72284653429629	-2.08496404867248	-1.71629959484545	4.50385812986186	38.7839858589436	4.96437596305365e-07	2.1915957984048e-06
