genesymbol	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0H03179g	0.372459656279048	0.456338032393606	0.6692765694052	0.451194783750371	0.280635463077516	0.242678875837325	0.188644102138105	0.0653132481107415	0.0355068578210274	5.50796567975259	6.81464930482808	0.00418721470326483	0.00557053849341585
CAGL0K05813g	0.295871289706055	0.615655827766203	0.818912688986401	0.665073591793703	0.490868844907753	0.476848698396102	0.614252879686353	0.781355449049302	0.551197224211055	10.6370191480027	6.80936956767784	0.00419891336701479	0.00558387106826158
CAGL0C02849g	0.562185132480837	0.855493413274337	0.607233152294341	0.558552107720941	0.603772831408991	0.563035475444639	0.218246021819701	0.467623590724966	0.441487218777101	6.34329306733678	6.80916398055327	0.00419936970310331	0.00558387106826158
CAGL0K04411g	0.986893958302305	0.796751144938836	0.599864165513613	0.353727780530517	0.222108485290147	0.453987194728646	0.517646489198008	0.484243719710965	0.592926888414838	5.66620573504523	6.79561262218517	0.00422958267548264	0.00562261688830665
CAGL0M01298g	-0.211778076093675	-0.315925057569014	-0.517907274900635	-0.506047613239843	-0.479836117880668	-0.351071051132091	-0.64323610269408	-0.46238916926213	-0.400392540060128	6.30507233443416	6.79362608234274	0.00423403387226719	0.00562710518439165
CAGL0C03828g	-0.183222366974436	-0.19871053632128	-0.337298400695305	0.115032418292489	0.303614255429875	0.686578812617229	0.588752665090485	0.758141487819989	0.970106087176525	2.82210676522516	6.78758169643942	0.00424761245878509	0.0056428570403624
CAGL0H00759g	0.864073552088632	1.29853241587162	1.39129295519882	1.21657954820736	1.30132190331236	1.29742239555672	0.688520051878617	1.50098087710044	1.38480080485315	1.81577963983777	6.78739089662097	0.00424804194767302	0.0056428570403624
CAGL0H04653g	-0.566200738432201	-0.601310297700914	-0.726525996148725	-0.786197195580401	-0.774247911156989	-0.757445885737852	-0.60683162369658	-0.498853068671041	-0.51820279537646	8.24206107089132	6.77437200951968	0.0042774724426519	0.00568050944629191
CAGL0G02882r	-0.826608078185326	-1.95728880424724	-1.60607263252683	-0.92639378292619	-0.59992610329877	0.00898486782085017	-1.38540801748396	-1.43310660231175	-1.69988562432508	2.03584584945565	6.76651550219143	0.00429535278669149	0.0057028079732006
CAGL0G06358g	0.387822798089978	0.874479691396417	0.808631217028602	0.718355208321023	0.576184716763482	0.547569336021136	0.565011476761092	0.602920885002801	0.336198251214841	6.96151169852264	6.76317876722511	0.00430297421994351	0.0057101614100056
CAGL0H00638g	-0.26579424361317	-0.108611040451675	-0.402496887435624	-0.775507194372303	-0.364102707934913	-0.906773569404559	-1.21847466735299	-0.615579593412249	0.0546400793171866	4.7880010319904	6.76313560034474	0.00430307292501855	0.0057101614100056
CAGL0M13607g	0.302291273947469	0.630548024577303	0.633252611165005	0.760677166029619	0.479619538095736	0.49557478756294	0.538259669268736	0.391579812235355	0.431774689058806	4.91511762953183	6.75672518171152	0.00431776153995126	0.00572820113067532
CAGL0I05412g	-0.139968621198754	-0.36410984087182	-0.348199340252186	-0.455897794599081	-0.459412261728785	-0.42723954414273	-0.486307345689633	-0.510008302508151	-0.401744690460004	7.16078650708141	6.75419552385154	0.0043235746766832	0.00573445995247949
