genesymbol3.150m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0G08734g	-4.84777299627393	5.66025026002372	-30.1171864668264	2.04738932499197e-10	4.87185596196953e-08	14.6927795985211
CAGL0J04884g	6.14300637609288	6.82683101022246	29.7434335912793	2.29097549629124e-10	5.21445944481941e-08	14.5859563873104
CAGL0D00990g	4.46118484950878	7.53230521736953	29.4671274206564	2.49172750329954e-10	5.43508061657213e-08	14.5058907489205
CAGL0E04708g	2.77587634514714	6.04048131047423	29.052594646123	2.83051029303102e-10	5.92708855360696e-08	14.3839878717731
CAGL0B03531g	4.11199064154187	5.05352580556046	28.2406852031466	3.6524357319172e-10	7.19546975824444e-08	14.1388270829814
CAGL0K10824g	5.6204879716717	6.37282912701578	28.1038629985539	3.81546286069811e-10	7.19546975824444e-08	14.0966538940113
CAGL0H03311g	5.39430432222411	3.19726310849632	28.0756779994635	3.85003897720165e-10	7.19546975824444e-08	14.0879349063678
CAGL0G04829g	3.00928205824901	7.19428624138462	27.9674852688167	3.98602909243723e-10	7.19546975824444e-08	14.0543653468205
CAGL0K04301g	5.54713367998495	5.43813920692201	27.6315825082435	4.44335369308247e-10	7.52985696028886e-08	13.9491183697676
CAGL0K07458g	3.91076945122511	8.23165897120506	27.6127782191653	4.47062364862318e-10	7.52985696028886e-08	13.9431802228561
CAGL0F04631g	13.1885927871875	5.87567534924741	27.5234165855347	4.60277789358631e-10	7.52985696028886e-08	13.9148932703154
CAGL0C04543g	4.38843721568232	7.84414052078521	26.9499943200967	5.56127923104656e-10	8.82221114379659e-08	13.7306757767614
CAGL0J02508g	6.12415052728361	8.36794952914437	26.6288981905884	6.19338445945169e-10	9.32657107511824e-08	13.6254315337306
CAGL0M10351g	2.47121419509458	8.1034170400022	26.6016300078329	6.2506298030122e-10	9.32657107511824e-08	13.6164234245723
CAGL0F03707g	2.97563781207611	7.15264881081754	26.4620577875205	6.55297979965051e-10	9.32657107511824e-08	13.570140557155
CAGL0M05951g	3.62533084781557	6.12154782172195	26.4446356491876	6.59184584105778e-10	9.32657107511824e-08	13.5643426615139
CAGL0F03113g	2.62668779062814	7.45178818386546	26.2302380548773	7.09165462305064e-10	9.76968735570266e-08	13.4926155096306
CAGL0G02849g	5.25412816850938	7.61509277401541	25.8384744629917	8.11719695075528e-10	1.06769983717477e-07	13.3597178338606
CAGL0D06600g	5.04589629570752	8.67520020537208	25.8239830513323	8.15816494498388e-10	1.06769983717477e-07	13.3547558358646
CAGL0F07777g	7.09663567843877	9.61440783434285	25.6422714590696	8.69181264507077e-10	1.10287300936603e-07	13.2922530795916
CAGL0H00528g	4.02694858757584	6.41245062707142	25.5733160021066	8.90435727852575e-10	1.10287300936603e-07	13.2683966423656
CAGL0I04444g	3.33591532184251	8.1448571027861	25.5243021797735	9.05893780377067e-10	1.10287300936603e-07	13.2513928804234
CAGL0H08261g	4.55393775282971	5.61061842991491	25.4081473503445	9.43728643238588e-10	1.12282260167137e-07	13.2109415403844
CAGL0J06050g	3.22037637258823	11.6678351468887	25.2150551031218	1.01056249444277e-09	1.17098612688801e-07	13.1432093428726
CAGL0F07117g	4.03673187465498	7.38951537810682	25.0842196465629	1.05882567718246e-09	1.17098612688801e-07	13.0969659610643
CAGL0L05258g	4.08989746820865	6.30287432713697	25.0745522338831	1.06249195514675e-09	1.17098612688801e-07	13.0935377563659
CAGL0E05148g	3.54607574422621	9.07650285060256	25.0452688904601	1.07368355473973e-09	1.17098612688801e-07	13.0831439404551
CAGL0H02101g	6.33271954340927	8.73203159276863	24.6985316830111	1.2166255740819e-09	1.29980303679975e-07	12.9589750124442
CAGL0J07040g	2.79823009611071	9.2442323848056	24.4495299395169	1.33228443329701e-09	1.34461221426829e-07	12.8685371449204
CAGL0E02651g	3.43114723411176	6.27474356455363	24.4328220010704	1.34047074185463e-09	1.34461221426829e-07	12.8624302511728
CAGL0E05984g	11.3747258338891	9.37332646874606	24.4080550902776	1.35270845120986e-09	1.34461221426829e-07	12.8533687526867
CAGL0I05896g	2.84852017934606	8.05951192215204	24.390800304046	1.3613074948657e-09	1.34461221426829e-07	12.8470493747808
CAGL0L11066g	-2.0763092664185	6.68211653354908	-24.3167418589207	1.39890958956969e-09	1.35616512988839e-07	12.8198668872276
CAGL0M06303g	-3.16278938464994	7.41342634366286	-24.1095107800446	1.51039034345946e-09	1.43761699054732e-07	12.7432888575509
CAGL0D02090g	-4.3928267371213	8.11414720619714	-23.9994752551007	1.57356199465282e-09	1.47099947178706e-07	12.702315576334
CAGL0G05698g	3.43082031339611	7.53892407562087	23.7612314726276	1.72062104331179e-09	1.58025458977846e-07	12.6128504339551
CAGL0B03927g	-2.49579237904719	6.11056546068446	-23.6587018529244	1.78854580676193e-09	1.60873964328293e-07	12.5740284294428
CAGL0I07865g	6.3312229428956	8.58668508588607	23.6227003887517	1.81309721019471e-09	1.60873964328293e-07	12.5603506312047
CAGL0M13541g	2.65368585678381	8.2567364777529	23.4466459459755	1.93866529704855e-09	1.69148547167486e-07	12.4931152796385
CAGL0E06072g	2.72021896486258	6.92527571291407	23.3801660496733	1.98856388061992e-09	1.70657900246644e-07	12.4675751104174
CAGL0A01606g	3.96151586704498	4.97250492715004	23.2779513476361	2.0680847791959e-09	1.73814695951969e-07	12.4281429951
CAGL0M12969g	3.73387310629762	6.88145757430934	23.248368312749	2.09175278796066e-09	1.73814695951969e-07	12.4166933959483
CAGL0A03388g	-3.28211826724763	9.68056361817483	-22.9648192671851	2.33448267551538e-09	1.90953387598797e-07	12.3060958697919
CAGL0E06380g	4.19060765080204	7.62655933965099	22.7037044865548	2.58586533074392e-09	2.08261615483761e-07	12.2028588719842
CAGL0F03267g	2.76547281105746	7.5553098688846	22.5440091754294	2.75431959894301e-09	2.17999915125749e-07	12.1390511024838
CAGL0H02893g	3.35036676626287	7.75049790245918	22.5115141919662	2.79006577142792e-09	2.17999915125749e-07	12.126004503181
CAGL0J00803g	2.49780099153903	8.16128845585355	22.3969240813623	2.9202852118376e-09	2.19349419119007e-07	12.0798258511349
CAGL0L00957g	2.66965978795278	7.75312454741285	22.3860066146469	2.93303903310993e-09	2.19349419119007e-07	12.0754122455347
CAGL0L04664g	3.87694267689279	8.98579851458596	22.3254461888415	3.00491648836088e-09	2.21559687557313e-07	12.0508850983126
CAGL0H08778g	3.42738677771129	7.53219165729052	22.2406465563981	3.10886505404109e-09	2.26040396637571e-07	12.0164141047776
CAGL0A00341g	3.98097799825829	6.18396937946972	22.1613118120074	3.20973309657602e-09	2.26263863501593e-07	11.98402971842
CAGL0C02739g	5.16526249882507	9.51045939904129	22.1575200797206	3.21464400132258e-09	2.26263863501593e-07	11.9824786566826
CAGL0F07799g	2.4577465184714	7.80551778377099	22.1128076937557	3.27318611727813e-09	2.26263863501593e-07	11.9641657807758
CAGL0I04752g	-2.83979749412318	7.12460064549499	-22.1040247160955	3.28482399734882e-09	2.26263863501593e-07	11.9605636190212
CAGL0K08932g	2.28928309169066	5.73328115574041	21.9547579002096	3.4897894151027e-09	2.35440561566839e-07	11.8990967926159
CAGL0C04939g	4.29605607251794	7.47636745017286	21.9153358735512	3.54626020778412e-09	2.35440561566839e-07	11.8827845022906
