genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0K01089g	296.125	334.43751	8.6888862618675	0.00387620142588229	0.0146184330225272	-4.45750014403842
CAGL0D05280g	-150.375	240.25001	-8.68745781460908	0.00387796826525608	0.0146184330225272	-4.45750251619055
CAGL0B04323g	-295	450.25001	-8.66723904213694	0.0039030929112305	0.0146924176843929	-4.45753621194776
CAGL0L07392g	-81.0000000000001	218.12501	-8.66723028887815	0.00390310383554269	0.0146924176843929	-4.45753622658404
CAGL0M11682g	-445.8125	404.46876	-8.66200426053648	0.00390963338621726	0.0147056326261156	-4.4575449725159
CAGL0J06380g	-129.625	596.93751	-8.65930407166629	0.00391301281561896	0.0147056326261156	-4.45754949725834
CAGL0H03971g	-138.6875	170.78126	-8.65780926706358	0.00391488532603752	0.0147056326261156	-4.45755200384942
CAGL0C02123g	-129	733.62501	-8.65377539150901	0.00391994447291734	0.0147142743269114	-4.45755877427901
CAGL0E04114g	85.7499999999998	263.00001	8.63021041001589	0.00394967460676095	0.0148137298546726	-4.45759850568002
CAGL0H05863g	273.875	331.50001	8.62519148698995	0.00395604559265412	0.0148137298546726	-4.45760700767701
CAGL0H04125g	-323.125	1526.81251	-8.62459485092134	0.00395680387378966	0.0148137298546726	-4.45760801930764
CAGL0L01705g	-142.5	308.00001	-8.62400890981199	0.00395754875195135	0.0148137298546726	-4.45760901299811
CAGL0K07480g	-526	1151.37501	-8.6215958847916	0.00396061829296322	0.0148148232641415	-4.45761310724292
CAGL0G02079g	8406.49999999999	15150.75001	8.60755673574466	0.00397854051380275	0.0148658529755473	-4.45763699263028
CAGL0L04334g	-204.6875	616.21876	-8.60582756104668	0.00398075546948763	0.0148658529755473	-4.45763994221475
CAGL0K10494g	-481.1875	826.65626	-8.60437166583375	0.00398262165392896	0.0148658529755473	-4.45764242695297
CAGL0M04961g	543.125	961.56251	8.59621595042115	0.00399309745429318	0.0148847321919598	-4.45765636823466
CAGL0M00946g	443.125	373.06251	8.5960892033678	0.00399326054868662	0.0148847321919598	-4.4576565851914
CAGL0L02035g	565.5	1366.50001	8.59326295641456	0.00399689959983601	0.014887892783188	-4.4576614253272
CAGL0J03454g	409.3125	597.59376	8.58693388712504	0.00400506498504106	0.0149078971599505	-4.4576722807133
CAGL0M05137g	-416.375	807.93751	-8.5825261536969	0.00401076478431308	0.0149187024822357	-4.45767985414371
CAGL0A03168g	2738.25	7916.50001	8.56986472604256	0.00402719829755849	0.014959591077628	-4.45770167081454
CAGL0L10164g	661.25	559.12501	8.56851771646043	0.00402895191292232	0.014959591077628	-4.45770399721666
CAGL0L02387g	98.2499999999999	332.87501	8.56740434128934	0.00403040214173345	0.014959591077628	-4.45770592089686
CAGL0M12991g	1663.75	3463.25001	8.56405055101534	0.00403477485553091	0.014959591077628	-4.45771171984381
CAGL0I02530g	-1012.375	900.81251	-8.56328016263033	0.00403578019510811	0.014959591077628	-4.45771305281313
CAGL0G03091g	1277.5	3075.50001	8.55929529034557	0.00404098572497491	0.0149684846229279	-4.45771995310806
CAGL0L08114g	3990.5	6014.00001	8.5504800117423	0.00405253332586932	0.0150008416101228	-4.45773525032993
CAGL0E04422g	-125.4375	288.03126	-8.5480091540973	0.00405577796379194	0.0150024408175216	-4.45773954607499
CAGL0H08305g	-1034.25	811.25001	-8.54273703753394	0.00406271275412497	0.0150176783302166	-4.45774872379633
CAGL0L02585g	227.6875	290.59376	8.53238961069084	0.00407636971307172	0.0150577257960696	-4.45776678350898
CAGL0G06908g	378.75	1624.75001	8.52002848950383	0.00409276516558529	0.0150947996321518	-4.45778843952828
CAGL0I02728g	-83.375	207.81251	-8.51969057020637	0.00409321461191237	0.0150947996321518	-4.45778903279849
CAGL0L09757g	91.9999999999999	387.75001	8.51791176779447	0.00409558158138859	0.0150947996321518	-4.45779215686691
CAGL0K02475g	347.0625	796.71876	8.51457026692181	0.0041000329204465	0.0150947996321518	-4.457798030479
