genesymbol	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
DLD1	6.712614596	7.148934006	8.461723549	8.435985765	9.250151754	9.213811981	9.881095693	9.92369033	9.904686179	10.03752331	9.839051668	9.944182097	9.882770639	9.910993831	9.839329947	9.705966227	9.839255525
YAK1	5.686957051	5.748273542	7.36973414	7.273817527	8.353893213	8.353236423	8.609570986	8.574734824	8.504154655	8.516400422	8.634569611	8.578138091	8.627719668	8.566135476	8.776872167	8.488849429	8.348645453
INO1	13.42621036	13.50183261	13.47847233	13.23611944	13.54397325	13.25578235	12.86560379	12.82489285	12.22410008	12.03755644	9.80157578	9.004446407	8.517758417	9.369065512	11.13955402	9.450846464	9.953843923
FBP26	5.320594315	5.621351401	7.32337377	7.306467691	8.014971652	8.009228591	7.99966674	8.094180093	7.962704534	7.849797382	7.820046663	7.757017112	7.824379071	7.787126128	8.048644602	7.735717212	7.729203295
PEX2	4.94885655	4.845350114	5.829407357	5.701240654	6.130154311	6.156423468	6.586781144	6.704377744	6.828995231	6.869561844	6.975262188	6.949726861	7.170380733	6.985975225	7.246719763	7.024057186	7.03778998
TIF3	8.812349626	8.772304844	7.38109514	7.638978095	6.453578081	6.303781789	6.025087765	5.981799908	6.258232908	6.292110865	6.320235358	6.608332743	6.469687399	6.701334285	6.545866848	6.71575984	7.126705999
DUR3	6.424603162	6.494797401	5.082648824	5.011301327	3.992589228	3.759493117	3.888863344	3.921521859	4.195728017	5.055485371	5.336738457	5.689285747	4.454262462	6.067341774	5.41010767	6.182437252	5.837401771
PWP7	3.977847874	4.235046932	4.257757612	3.802229103	4.057572768	3.544497584	4.33267418	4.94138982	4.229534776	5.343741275	4.960926371	5.247949527	4.056881715	5.939788296	6.107906014	6.343638847	5.92454739
PWP1	4.409917342	4.585246992	4.90515997	5.651275105	5.671693024	5.879845418	6.15422499	6.881044787	6.266398664	6.826582926	6.583672504	6.661164164	7.377903372	6.897689313	6.337859106	7.292491293	6.908914822
TPO3	7.444608612	6.939397143	8.199210508	7.843787179	9.198501695	9.34703769	9.261373913	9.248538539	9.354507714	9.309945403	9.729489109	9.686266085	9.752497113	9.628029339	8.993272429	9.308335132	9.654278768
ASN2	11.34938546	11.24683903	10.76679162	10.60771031	10.07964751	10.00603911	8.424587773	8.361659092	8.883724279	8.419872869	8.616875769	9.022624685	8.792286095	8.841821167	7.995264118	8.639844424	9.047648472
AWP1	3.818209991	3.677535173	7.663556371	7.584551684	8.706218625	8.514575506	8.913879878	8.846470559	8.87440517	9.108542023	8.953303577	9.271385191	9.080423832	9.872023109	10.26850903	9.623046509	9.478505771
PET117	4.428466219	4.150014045	5.604177261	4.782866539	6.160054345	6.176962816	6.735232392	6.868826482	6.463944733	6.93075487	5.777183422	5.715816296	5.037539747	5.564423819	5.672116397	5.576770347	4.993023053
FCY2	6.221545048	6.180055394	6.180970917	6.086799182	6.133172355	6.159867064	6.82202674	6.747280397	7.177497268	7.367625303	8.014730147	8.654183311	8.546044395	8.61552044	8.146100259	8.626324924	8.442490972
RCN2	4.855986206	4.856128115	6.727780969	6.484090452	7.370947275	7.290568668	7.223799465	7.178653243	7.390470874	7.325614878	7.232300945	7.157547851	6.872126811	7.020652983	7.452742306	6.932378502	6.730655595
HSP12	5.615904728	3.701638437	9.760499912	9.276030895	11.87037956	11.92851858	12.82959832	12.73831188	12.69086144	12.69520618	12.67894521	12.76750047	12.65478994	12.80391507	13.5090911	12.83846165	12.59161759
RPS12	12.35883934	12.2138731	10.83962851	11.00356736	8.987084224	9.07205503	6.735232392	6.231241371	6.379884745	5.988473325	6.666774416	7.43009881	7.414317224	7.856340106	6.985022305	7.699428153	8.425928181
PDR16	7.384126863	7.399734131	6.782660834	6.679551418	6.068428414	5.941167587	5.418295817	5.03912828	5.541201098	5.131445226	5.434837474	5.188571236	4.909679053	5.076923178	4.895637429	5.581089324	5.633638368
ZWF1	7.687270355	7.776818671	9.24149174	8.914983014	10.01689892	9.746561363	10.28262964	10.03495015	9.873953193	9.858101376	9.510961284	9.121189493	8.618331537	9.076482914	9.985001371	8.986043636	8.448158474
TPS1	7.515726857	7.576323679	9.304219709	9.02534366	10.37339588	10.25213591	10.74711134	10.62215397	10.57591397	10.59161064	10.53340901	10.43493642	10.13260038	10.56015214	11.09198027	10.30727051	9.934189359
YDJ1	9.136698173	8.942517788	9.324957497	9.107930218	7.44203508	7.031440366	6.239172074	5.98934415	6.258232908	6.313021165	6.428273483	7.140022679	6.976586454	7.655622398	7.547694308	8.005268714	8.164680345
RPL16A	12.14347227	12.02955883	10.68877545	10.96531329	9.09666223	9.115708886	6.671931051	6.208797171	6.266398664	5.977288712	6.067330147	7.080018465	6.888286125	7.037006809	5.977543085	6.97073982	7.936949509
PLB2	9.252485621	9.001958623	8.670576546	8.727779926	8.282291389	8.376362406	7.720878584	7.676067394	7.507046383	7.164020465	7.339380055	6.978497582	7.092706416	6.572631906	6.103525808	6.675933368	6.885713491
AWP3	-0.673624826	-0.977359277	-3.703235086	-3.703235086	-3.703235086	-2.016046099	-1.595708633	-3.703235086	-3.703235086	-3.703235086	-1.798838525	-3.703235086	-1.752992882	-3.703235086	-3.703235086	-2.185266945	-2.226281407
EPA22	-3.703235086	-3.703235086	-1.923744387	-3.703235086	-0.59185972	-2.016046099	-0.77362669	0.098694887	-0.967894283	-0.452992547	0.422840522	-0.618434671	0.141469135	0.850987666	0.412821448	0.108967349	0.050072479
ZPR1	8.383795301	8.253158981	6.906883444	7.129213271	4.520961352	4.323418401	3.984596194	3.789471018	4.530076015	4.323096472	5.231479158	5.957308956	5.864929337	6.098841634	5.475974326	6.153728041	6.302888374
PEX8	5.566514837	5.502899754	6.429439252	6.111645994	6.827891684	6.827864359	7.330136132	7.283627039	7.287910458	7.374746434	7.540475903	7.455510188	7.533840143	7.725397046	7.828788022	7.800119708	7.550003445
GPD1	8.00252907	8.033372999	8.89094464	8.794516931	8.815465301	9.001356116	8.959510133	9.084322738	8.858288157	9.182233532	9.374784303	9.693959762	9.806167977	9.781906438	9.19588128	9.883655572	10.0898516
DSS4	7.776851995	7.889964407	7.146366734	7.21770285	6.39191753	6.361747474	5.426842504	5.563561066	6.056406641	5.880549259	5.949344972	6.324417151	6.225866422	6.636630352	6.486551674	7.020881319	6.745460936
TIF6	8.412031765	8.418619711	7.000356192	6.937550027	5.926036433	5.888173878	5.640318173	5.522552761	5.843677668	5.950849058	6.044492424	6.559364627	6.208810526	6.523182082	6.292400286	6.592822172	6.905623103
IPC1	5.106912898	5.482176593	6.401020862	6.380559959	7.061278947	7.020116918	7.394731695	7.460953715	7.352620246	7.220447806	6.772008514	6.576837904	6.760484894	6.463935425	6.421177232	6.323157913	6.180211923
FKS2	6.749965196	6.6514979	7.328412813	7.298374162	7.95398092	7.794523387	7.877166691	7.704992528	7.961447671	7.983442372	8.074006142	8.08877296	8.221925245	8.503767419	8.945431278	8.859755156	8.663701697
SSB2	10.85928342	10.72107178	9.551580993	9.6170302	8.325149718	8.119450083	7.685702119	7.698103201	8.181439421	8.09285303	8.154596135	8.754843363	8.477083847	8.720923849	7.724968765	8.715460506	9.056580305
MET8	2.330034088	3.009483425	4.550050806	4.027844635	5.315659459	5.257763486	5.135065811	4.909933909	4.970814915	5.034055604	4.896070514	4.527376839	4.459078717	4.308409891	5.067399735	4.51281231	4.467491934
MCX1	6.887039911	6.952011367	5.795844873	5.89259592	4.72676883	4.852229845	4.403667924	4.696080549	5.019939905	4.882428079	5.392059197	5.451099352	5.598642164	5.537855664	4.998299521	5.701025913	5.82351493
PGM1	7.685343625	7.739469205	8.488231741	8.23863579	10.09249661	9.84957686	10.14177622	9.802592622	9.436854077	9.45943984	9.018037108	8.543009373	8.107718102	8.65975475	9.715096657	8.483668232	8.057530024
