genesymbol.240m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0E04840g	2.96369193194358	1.04136158061552	6.89313359719074	6.80198222269558e-05	0.000209955052687567	1.39432565044939
CAGL0G07953g	-1.03811235388903	5.54536239584017	-6.89206778702398	6.8101435499313e-05	0.000210083096546201	1.39303023027671
CAGL0J00187g	1.3005100205298	7.36907046698372	6.87955918643426	6.90672994491135e-05	0.000212937168796295	1.37781643954669
CAGL0K03795g	-2.20506912503468	4.65292694224876	-6.87847085787165	6.91520403002713e-05	0.000213054880741059	1.37649183229191
CAGL0I02024g	2.13008351276761	4.2702656472877	6.87802388099837	6.91868762673925e-05	0.000213054880741059	1.37594777347196
CAGL0I04224g	-0.809490279493264	5.74916578919982	-6.87657451243826	6.9299967317005e-05	0.000213277677192546	1.37418343759816
CAGL0H04235g	-1.26666283154845	4.79480765070448	-6.87457330201153	6.94564491772932e-05	0.000213633672998314	1.37174691226958
CAGL0J07832g	-1.40694488693359	6.70584140062344	-6.86058677183415	7.05609344357445e-05	0.000216903400922562	1.35470418090918
CAGL0A03971g	-1.23373027089845	4.81154967259139	-6.85911501868512	7.06782657377021e-05	0.000217136573437131	1.35290943249848
CAGL0G07337g	1.43042856817466	7.5314188127423	6.85643391120663	7.08925570747377e-05	0.000217540495909309	1.3496392346432
CAGL0B01397g	-1.71572036344036	4.50301189566563	-6.85631793908108	7.09018422997933e-05	0.000217540495909309	1.34949776122408
CAGL0M10747g	0.644110311564079	6.43201400453303	6.85591132413375	7.09344081217174e-05	0.000217540495909309	1.34900172196597
CAGL0K02453g	-1.55459844420067	4.96269245372612	-6.85102566710206	7.13269799984295e-05	0.000218616358484648	1.34303999714271
CAGL0M09636g	1.05654930758208	5.46184394957489	6.84963985395608	7.14387639999052e-05	0.000218712909976884	1.34134842170024
CAGL0A01067g	-0.8513394185425	6.71111122242781	-6.84959072908305	7.14427300727803e-05	0.000218712909976884	1.34128845368786
CAGL0G07425g	1.10402475459627	8.69529056891184	6.84908197364873	7.14838183324639e-05	0.000218712909976884	1.34066738514997
CAGL0L10472g	0.864960648013852	7.35001215383103	6.84284249434034	7.19898364120616e-05	0.00022013247290721	1.33304787480219
CAGL0I05764g	-1.34078836588316	5.70617679803086	-6.84089953105388	7.21482068484808e-05	0.000220487952628019	1.33067418994467
CAGL0G01760g	-0.780383755453263	6.698470507112	-6.83478067681142	7.26494426096695e-05	0.000221885653015693	1.32319584133316
CAGL0L03003g	-1.6303754564756	5.56052694741852	-6.83428353604391	7.26903333184172e-05	0.000221885653015693	1.32258804182985
CAGL0E02871g	-1.29899475927634	3.93867388352007	-6.82819124579533	7.31934802450325e-05	0.000223167632877852	1.31513718262714
CAGL0M06721g	0.674054688307645	7.37701711662785	6.82816599919217	7.31955731903098e-05	0.000223167632877852	1.31510629652121
CAGL0L10015g	-1.19000572651933	6.67424355843506	-6.82061905569607	7.38241532304357e-05	0.000224953109523476	1.30587000278422
CAGL0D03124g	-1.93183736018488	5.50101702484301	-6.81747680619084	7.4087604146746e-05	0.000225624553640614	1.30202229354852
CAGL0F03575g	0.804041505259887	6.7126091555554	6.8151253911698	7.42854214672244e-05	0.000226095454291232	1.29914216660143
CAGL0K11088g	-0.529505351646748	9.03362930444447	-6.81371911789641	7.44040023116709e-05	0.000226324783324577	1.29741936735929
CAGL0G05896g	-1.32402172398869	7.9406710999047	-6.81287260922908	7.44754818472581e-05	0.000226410654744713	1.29638220706096
CAGL0L10516g	-1.40776857054676	6.39352263451733	-6.81011701164095	7.47086851412282e-05	0.000226987792637452	1.29300537498059
CAGL0H03597g	-1.02278164119617	6.87979621931638	-6.80312704247182	7.53038210797407e-05	0.000228663285007217	1.28443532780877
CAGL0K03157g	-1.20887127714617	3.6124111210376	-6.79558131831572	7.59520873027216e-05	0.000230498073640434	1.27517708606652
