wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min
0.735835328	1.293170727	1.77217429	1.796621151	2.005768608	1.95996787	2.190689751	2.279746569	2.015296149
-1.828948523	-3.692072991	-4.053087619	-3.519669788	-3.296691098	-2.602578695	-2.36033015	-2.309804905	-1.746588088
-1.166940412	-2.003662582	-2.66384075	-2.366170783	-2.44288916	-2.079949077	-2.069994949	-1.965993077	-1.665143711
2.020973801	2.481690894	2.428331469	2.302751613	2.338578589	2.392287058	2.3168844	2.497747071	2.210221422
4.172730594	4.34500214	4.179370049	4.221752093	3.984811736	4.44936361	4.638327403	4.844242977	4.733571622
-1.403741624	-2.259397148	-2.526880608	-2.56658993	-2.639266567	-2.547824835	-2.214196133	-2.217800667	-1.878164087
-1.823923652	-3.891412084	-3.816525469	-2.871379174	-1.511168266	-0.633305726	-0.67308579	-0.751011057	-0.256748071
-1.300428783	-3.896287265	-4.431443535	-3.891890897	-3.086997983	-2.407357995	-2.219635507	-2.503625957	-2.015588767
0.868220673	1.246185558	1.748476112	1.952175206	2.078158856	2.162950465	2.088871893	2.238285143	2.140686648
0.612661939	1.173520605	1.090348061	1.271713473	1.373274594	1.454617555	1.803035871	2.201861669	1.962970149
1.481391837	2.403353847	2.430976085	2.442595841	1.486580109	1.200305378	0.749832142	0.499374977	0.710832343
-1.103426005	-2.12381251	-2.950501567	-2.674882995	-2.621003726	-2.605907717	-2.624703906	-3.00948684	-2.483918121
-0.974479791	-1.796444671	-2.523335671	-2.356798575	-2.489031279	-2.349222284	-2.556437235	-2.823279721	-2.448633046
1.899780722	2.335421521	1.679961513	1.460074299	0.825453115	0.056633906	0.176195351	0.399708539	-0.04796875
1.407681713	1.774168497	2.161422093	2.437611033	2.668838288	2.919449844	3.236939008	3.423412907	3.356513845
3.209058245	4.65347251	4.811909559	4.742227628	4.61600432	4.177862842	4.61164544	4.665637026	4.249437732
-1.241384028	-1.987747152	-2.290052811	-2.246617098	-2.090409126	-1.99156706	-1.75737851	-1.844447443	-1.682790104
-0.615502894	-1.849638295	-3.169612456	-3.112140903	-2.639374361	-2.581246975	-2.083462985	-2.174914775	-1.989363154
-2.428502253	-4.847838599	-5.801255452	-5.478609684	-4.661108735	-4.328133684	-4.510026778	-4.600576245	-3.744082791
0.570719529	1.086683191	1.270018572	1.388029535	1.575467864	2.096621244	2.039105401	2.072163443	2.21052614
-1.147639948	-2.304010424	-2.445404599	-2.233806135	-2.584833892	-2.186803535	-2.171123354	-2.02596074	-1.802398088
1.605574163	2.712307528	3.024737898	2.849926454	2.673925723	2.51332104	2.512005079	2.634978019	2.141137603
1.843947873	2.541127264	2.575950559	2.4352781	2.349073805	2.319725233	2.31615327	2.421208049	2.258230437
0.874909422	1.408130489	1.420720072	1.610466835	1.837696437	2.720584108	2.922009189	2.991068419	3.191877195
0.160997321	0.045931338	0.430142097	0.857901374	1.594276713	2.265960457	2.105617226	1.75703347	2.060430978
-1.446372628	-2.508220582	-2.833890271	-2.518062375	-2.370833314	-2.031238161	-1.892143656	-1.972714509	-1.509702635
