genes	del4.20min	del4.30min	average.d4	wt.20min	wt.30min	average.wt	minus
CAGL0H03971g	1.65063431893142	2.93851768280264	2.29457600086703	1.22194649248986	2.68001099146642	1.95097874197814	0.343597258888885
CAGL0F00869g	1.65712018242761	3.24247116611065	2.44979567426913	1.26032505801885	3.22996007630205	2.24514256716045	0.204653107108681
CAGL0C03113g	1.32362525671051	2.29449663909084	1.80906094790068	1.36159915230854	2.25295446917978	1.80727681074416	0.00178413715651438
CAGL0M05467g	1.91386629824253	2.90972558843284	2.41179594333769	1.46156054234535	2.35835876689227	1.90995965461881	0.501836288718873
CAGL0I01100g	1.46621258747676	2.82133971038501	2.14377614893088	1.2608799691204	2.77670099175126	2.01879048043583	0.124985668495051
CAGL0H08261g	2.05154688905764	3.57595302122642	2.81374995514203	1.97391071427375	3.30578713958424	2.63984892692899	0.17390102821304
CAGL0G05830g	1.92143174288277	2.80080637513576	2.36111905900926	1.59728975469484	2.91351524641881	2.25540250055682	0.105716558452442
CAGL0C04587g	1.37991802406466	3.42084779596314	2.4003829100139	0.898587739667178	2.72578172252767	1.81218473109743	0.588198178916478
CAGL0K10626g	2.54833458231772	3.57357829191034	3.06095643711403	1.64795618334734	3.27997237253059	2.46396427793896	0.596992159175069
CAGL0H08173g	3.17235952338111	3.59761605979442	3.38498779158776	2.89757088268978	3.33765031196067	3.11761059732523	0.267377194262534
CAGL0G05357g	1.74112264014085	2.69029106338497	2.21570685176291	1.54147789958639	2.82465260361945	2.18306525160292	0.0326416001599918
CAGL0A03740g	1.62072850627579	3.00596198039627	2.31334524333603	1.81148217241015	2.65192401399694	2.23170309320354	0.0816421501324873
CAGL0L06864g	1.86719127010966	2.63566885219702	2.25143006115334	1.71717727957116	2.72293605779096	2.22005666868106	0.0313733924722777
CAGL0L01925g	1.83440590739293	2.68746306936453	2.26093448837873	1.56662094317918	2.77293370921242	2.1697773261958	0.0911571621829328
CAGL0I08305g	2.10471359408409	3.39434398440776	2.74952878924592	1.83839047164389	3.36387607614766	2.60113327389577	0.148395515350149
CAGL0L08426g	2.41912362195199	3.43034974777903	2.92473668486551	1.76925876541485	3.79184916393773	2.78055396467629	0.144182720189217
CAGL0J09812g	1.67085361860865	2.56968684456268	2.12027023158567	1.55752020060033	2.65799483692373	2.10775751876203	0.0125127128236402
CAGL0L00473g	1.7887586359783	2.30638096950636	2.04756980274233	1.63026816981987	2.42937977571479	2.02982397276733	0.0177458299750013
CAGL0M03377g	3.30947460436706	4.71181402395694	4.010644314162	2.68769504656534	4.86634102967811	3.77701803812172	0.233626276040277
CAGL0H02695g	2.46861530672285	3.37314603107212	2.92088066889748	1.81225917520947	3.49003958959692	2.6511493824032	0.269731286494289
