genes	del4vsdel4.20min	del4vsdel4.30min	del4vsdel4.45min	del4vsdel4.60min	del4vsdel4.90min	del4vsdel4.120min	del4vsdel4.150min	del4vsdel4.180min	del4vsdel4.240min	sec.max
1697	CAGL0G02717g	3.18186566428309	4.4523813054213	4.74456725194761	4.78847648204871	4.92611938618525	5.03657692438628	5.06399269342786	5.37727827380538	5.35795042871477	5.35795042871477
2402	CAGL0H08888g	2.10038423563651	3.09273965598474	3.62503955800835	3.88233099843511	4.00245048967901	4.19031433044325	4.44730305980068	4.34819807578295	4.26431844975504	4.34819807578295
2400	CAGL0H08844g	2.68987366031438	4.14480580960905	4.67221622921558	4.59157312537782	4.78121421039784	4.61960301439571	4.58241292521329	4.62499974986742	4.2933505877769	4.67221622921558
3906	CAGL0K10164g	4.97846170287449	6.81729012219332	7.36441000961941	7.89097034368182	8.38684569911736	8.31146151539138	8.68256748290295	8.70790306610402	8.18611635128698	8.68256748290295
304	CAGL0B02563g	1.71326996389262	3.46313858188371	4.3734067399227	4.3981249360484	4.58822782264966	4.49515120730709	4.75810974151418	4.54034302334008	4.15602459205128	4.58822782264966
3105	CAGL0J04004g	2.6918233841406	5.03371082854011	6.24759923535508	6.13735320240201	6.02927042024273	5.69654000861501	5.54584940139282	5.49323182258434	5.33490705687664	6.13735320240201
3787	CAGL0K07458g	1.46814991192381	2.32546176767973	2.75729914313646	2.9833833249099	3.0234382627897	3.18463218833985	3.12674883218409	3.09534605309907	2.99293008127267	3.12674883218409
998	CAGL0E01837g	1.43174706161034	3.2821157696837	3.91223924122718	3.94002282493052	3.9602998425484	3.7293471970732	3.72144065745114	3.61988655040605	3.09382347268756	3.94002282493052
999	CAGL0E01859g	2.17293926024855	3.16249073596353	3.60068169302943	3.49750872003384	3.19147804353278	3.17055858545888	3.1438262185817	3.05337735982999	2.74314054371086	3.49750872003384
1703	CAGL0G02849g	2.85880509340656	4.28015559845514	4.53993143076681	4.60565988006093	4.75576317305249	4.61493917805826	4.6369662877286	4.51765184169954	4.02158136380231	4.6369662877286
1644	CAGL0G01540g	3.45489779272714	3.64614926047722	3.59786909751715	3.7995321766815	4.19787342378817	4.06693875484066	4.08058797872968	4.3119708630421	4.02196939928628	4.19787342378817
5194	CAGL0M13189g	3.10581253986876	4.34045974616634	4.54088979427498	4.70941638516565	4.75662756386195	4.73025489781307	5.03484070822087	4.95422643204328	4.80625635551923	4.95422643204328
1652	CAGL0G01738g	3.18385468963438	5.25269155142947	6.29413124752632	6.40421077376285	6.79939676170971	6.82610451031852	6.92242495318075	6.88694249811126	6.59565946623094	6.88694249811126
3041	CAGL0J02508g	3.22704522279442	3.92677147450667	4.31886879799516	4.44718618470739	4.83488061909745	4.71916146866781	4.78857774060335	4.92646941522653	4.50278400171415	4.83488061909745
1783	CAGL0G04829g	1.98426511908003	2.55662080327035	2.8190928706094	2.70485642247462	2.64649067828498	2.71378906844413	2.68259394179196	2.69004089606428	2.64448256546873	2.71378906844413
4868	CAGL0M05951g	1.53959177990959	2.44803676000699	2.72061907430142	2.77971611216676	2.94954095659697	2.89349257709211	2.89899870295434	2.78686187928392	2.80215428573676	2.89899870295434
3396	CAGL0J10494g	2.30660811659667	2.9687971285589	3.23100406769948	3.17679100184669	3.14090464827139	3.05137586933438	2.76639500621606	2.90131780294373	2.85404798130523	3.17679100184669
1393	CAGL0F04807g	2.08442575151101	3.56455654583466	4.10762689705899	4.12865194238111	4.29531266057587	4.1838495597922	4.21648424734561	4.17004913171658	3.80742092241659	4.21648424734561
